Number,Lemma,imageability,emotional_valence,is_profane
3320,быть,1,3,0
3285,бывать,2,3,0
10685,забыть,2,2,0
39939,событие,2,3,0
3286,бывший,2,3,0
10680,забывать,2,2,0
32520,прибыть,3,3,0
32515,прибыль,2,4,0
9185,добыча,4,3,0
28881,побывать,2,3,0
3311,бытие,1,3,0
31981,пребывание,2,3,0
3310,быт,3,3,0
3318,бытовой,2,3,0
31982,пребывать,2,3,0
43902,убыток,2,1,0
9184,добыть,4,3,0
41152,стать,1,3,0
41330,стоить,1,3,0
25690,остаться,2,3,0
41425,стоять,4,3,0
41154,статья,2,3,0
21222,настоящий,2,3,0
25675,оставаться,2,3,0
40422,состояние,2,3,0
31366,поставить,4,3,0
41051,становиться,2,3,0
32183,представить,2,3,0
32187,представлять,2,3,0
25676,оставить,3,3,0
40411,состав,3,3,0
16850,кстати,1,3,0
32177,представитель,3,3,0
40416,составлять,2,3,0
44963,установить,3,3,0
5588,встать,4,3,0
25686,остановиться,3,3,0
32185,представление,2,3,0
40425,состоять,1,3,0
41000,ставить,4,3,0
24187,обстоятельство,1,3,0
40413,составить,2,3,0
31420,постоянный,1,3,0
28027,перестать,2,3,0
40426,состояться,2,3,0
41329,стоимость,1,3,0
9607,достать,3,3,0
12000,заставить,2,2,0
6400,выставка,4,4,0
44965,установка,3,3,0
25678,оставлять,2,3,0
31374,постановление,1,3,0
24181,обстановка,3,3,0
25685,остановить,3,3,0
5581,вставать,4,3,0
32188,представляться,2,3,0
9620,достоинство,2,4,0
32195,предстоять,1,3,0
21818,недостаток,2,2,0
12002,заставлять,2,2,0
44973,устать,3,2,0
36288,расстояние,2,3,0
9623,достойный,2,4,0
41002,ставка,3,3,0
32093,предоставить,2,3,0
25688,остаток,3,3,0
31373,постановка,3,3,0
25681,останавливаться,3,3,0
31367,поставка,3,3,0
5187,восстановление,2,4,0
9608,достаться,2,3,0
25687,остановка,4,3,0
5185,восстановить,3,4,0
21190,настаивать,2,3,0
9599,доставить,3,3,0
