root,root_base,canonical_root,is_homonym,variant_no,examples
∅,∅,ем,0,,вынуть; вынуться
а,а,а,0,,а; аканье; акать; акающий
август,август,август,0,,август; августовский
авось,авось,авось,0,,авоська; авось
ага,ага,ага,0,,ага
агу,агу,агу,0,,агу
ад,ад,ад,0,,ад; адский; адов
адрес,адрес,адрес,0,,адрес; адресовать; адресат; адресный; адресоваться; адресок; переадресовать; адресант; адресантка; адресование
аз,аз,аз,0,,аз
аист,аист,аист,0,,аист; аистёнок; аистник; аистовый
ай,ай,ай,0,,ай; айканье; айкать; айкнуть
ал,ал,ал,0,,алый; алеть; заалеть; аленький; алеться; алёхонький; заалеться; поалеть
алабер,алабер,алабер,0,,безалаберный; безалаберность; безалаберщина
алк,алк,алк,0,,алкать; алкание; взалкать
алмаз,алмаз,алмаз,0,,алмаз; алмазный
алтар,алтар,алтар,0,,алтарь; алтарный
алтын,алтын,алтын,0,,алтын; алтынник; алтынница; алтынничать; алтынный
алч,алч,алк,0,,алчный; алчность; алчба; алчущий
аляп,аляп,аляп,0,,аляповатый; аляповатость
амбар,амбар,амбар,0,,амбар; амбарный; амбаришко; амбарище; амбарушка; амбарчик
ангел,ангел,ангел,0,,ангел; ангельский; ангелочек; ангельчик
апостол,апостол,апостол,0,,апостол; апостольский; апостолический; апостольство
апрел,апрел,апрел,0,,апрель; апрельский
аптек,аптек,аптек,0,,аптека; аптекарский; аптекарь; аптекарша
аптеч,аптеч,аптек,0,,аптечный; аптечка
арап,арап,арап,0,,арап; арапка; арапский; арапчик; арапчонок
арбуз,арбуз,арбуз,0,,арбуз; арбузный; арбузик; арбузище
арест,арест,арест,0,,арест; арестовать; арестовывать; арестант; арестованный; арестантский; арестовываться; арестантка; арестный; заарестовать
аркан,аркан,аркан,0,,аркан; арканить; арканный; заарканивать; заарканить
арм,арм,арм,0,,армия; армейский; армеец
армяк,армяк,армяк,0,,армяк
армяч,армяч,армяк,0,,армячишко; армячный; армячок
артел,артел,артел,0,,артель; артельный; артельщик; артельщица
аршин,аршин,аршин,0,,аршин; аршинный; аршинник; аршинничать; аршинчик
атак,атак,атак,0,,атака; атаковать; атаковаться
атаман,атаман,атаман,0,,атаман; атаманец; атаманить; атамановец; атаманский; атаманство; атаманствовать; атаманша; атаманщина
ату,ату,ату,0,,ату; атуканье; атукать; атукнуть
ау,ау,ау,0,,аукнуться; аукаться; ау; ауканье; аукать; аукнуть
ах,ах,ах,0,,ахнуть; ахать; аховый; ах; аханье; ахоньки; заахать; поахать; проахать; разахаться
ба-2,ба,ба-2,0,2,побаиваться
ба(j)-1,ба(j),ба(j)-1,0,1,обаяние; обаятельный; байка (присказка); басня; прибаутка; бай; убаюкивать; баюкать; убаюкать; баиньки
баб,баб,баб,0,,бабушка; баба; бабка; бабочка; бабий; бабушкин; бабуля; бабуся; бабник; прабабушка
бав,бав,бав,0,,добавить; добавлять; избавиться; забавный; прибавить; избавить; добавка; забава; вдобавок; добавление
багаж,багаж,багаж,0,,багаж; багажник; багажный
багор,багор,багор,0,,багор; багорик; багорный; багорок; багорщик
багр-1,багр,багр-1,1,1,багровый (о цвете); побагроветь; багроветь; багряный; обагрить; багрение; багреть; багрец; багрецовый; багрить
багр-2,багр,багор,1,2,багровый (от багор); багреный; багренье; багрильщик; багрить; багрище; багровище; забагривать; забагрить; набагривать
бад,бад,бад,0,,бадья; бадеечка; бадеечный; бадейка; бадейный; бадейщик
бадр,бадр,бадр,0,,подбадривать; взбадривать; взбадриваться
базар,базар,базар,0,,базар; базарный; базарить; разбазаривание; разбазаривать; разбазарить; разбазариваться
байбак,байбак,байбак,0,,байбак
байбач,байбач,байбак,0,,байбачий
