Number,Lemma,PoS,reason,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,notes,roots
3,аббат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
4,аббатство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
7,аберрация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
14,абордаж,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
25,абсолютизация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
27,абсолютизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
28,абсолютно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
29,абсолютность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
30,абсолютный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
36,абстрактно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
41,абсурд,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
42,абсурдно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
43,абсурдность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
45,абсцесс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
47,абхаз,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
49,абхазский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
51,авангардизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
54,авангардный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
57,авансцена,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
60,авантюрист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
61,авантюристка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
62,авантюрный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
63,аварийно-спасательный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
64,аварийность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
65,аварийный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
67,авва,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
68,авгиев,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
70,августейший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
72,авеню,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
73,авиа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
80,авиакатастрофа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
83,авиакосмический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
84,авиакрыло,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
87,авианосец,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
90,авиаперевозка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
91,авиаперевозчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
92,авиапредприятие,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
