Number,Lemma,PoS,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,roots
6,абвер,s,вер,,вер => вер-1|вер-2|вер-3,
88,авианосный,a,"авиа,нос",авиа,нос => нос-1|нос-2,
132,автодорога,s,"авто,дорог",авто,дорог => дорог-1|дорог-2|дорог-3,
133,автодорожный,a,"авто,дорож",авто,дорож => дорож-1|дорож-2,
595,аминокислота,s,"амин,кис",амин,кис => кис-1|кис-2|кис-3,
596,аминокислотный,a,"амин,кис",амин,кис => кис-1|кис-2|кис-3,
778,антимир,s,мир,,мир => мир-1|мир-2,
1258,аэропорт,s,"аэр,порт",аэр,порт => порт-1|порт-2|порт-3,
1529,баскетбол,s,"баскет,бол",баскет,бол => бол-1|бол-2,
1530,баскетболист,s,"баскет,бол",баскет,бол => бол-1|бол-2,
1861,безразмерный,a,мер,,мер => мер-1|мер-2|мер-3,
1905,бейсбол,s,"бейс,бол",бейс,бол => бол-1|бол-2,
1942,белокурый,a,"бел,кур",бел,кур => кур-1|кур-2,
1982,береженый,a,береж,,береж => береж-1|береж-2,
2273,бизнесмен,s,"бизнес,мен",бизнес,мен => мен-1|мен-2,
2373,благоверная,s,"благ,вер",благ,вер => вер-1|вер-2|вер-3,
2378,благовещение,s,"благ,вещ",благ,вещ => вещ-1|вещ-2|вещ-3,
2379,благовещенский,a,"благ,вещ",благ,вещ => вещ-1|вещ-2|вещ-3,
2601,богоборческий,a,"бог,бор",бог,бор => бор-1|бор-2|бор-3,
2603,богоданный,a,"бог,да",бог,да => да-1|да-2|да-3,
2606,богомол,s,"бог,мол",бог,мол => мол-1|мол-2|мол-3,
2607,богомолец,s,"бог,мол",бог,мол => мол-1|мол-2|мол-3,
2750,большеротый,a,"больш,рот",бол-2,рот => рот-1|рот-2,
2765,бомбометание,s,"бомб,мет",бомб,мет => мет-1|мет-2,
2792,бормашина,s,"бор,машин",машин,бор => бор-1|бор-2|бор-3,
2819,бортинженер,s,"борт,инженер",инженер,борт => борт-1|борт-2,
2820,бортмеханик,s,"борт,механ",механ,борт => борт-1|борт-2,
2822,бортпроводница,s,"борт,вод",,борт => борт-1|борт-2; вод => вод-1|вод-2,
2885,бракоразводный,a,"брак,вод",брак,вод => вод-1|вод-2,
