tikhonov_root,lemmas,decision,root
абажур,абажур; абажуродержатель,new_root,абажур
абаз,абаз,new_root,абаз
абазин,абазинский,new_root,абазин
абак,абак,new_root,абак
аббат,аббатиса; аббатский,new_root,аббат
аббреви,аббревиатура; аббревиация,new_root,аббреви
абдик,абдикация,new_root,абдик
абдомен,абдомен,new_root,абдомен
абдомин,абдоминальный,new_root,абдомин
абзац,абзац; абзацный,new_root,абзац
абиетин,абиетин; абиетиновый,new_root,абиетин
абиссальн,абиссальный,new_root,абиссальн
абиссин,абиссинец; абиссинский,new_root,абиссин
абитури,абитуриент,new_root,абитури
аблакт,аблактированный; аблактировать; аблактироваться; аблактировка,new_root,аблакт
аблатив,аблатив,new_root,аблатив
аблятив,аблятив,new_root,аблятив
абляут,абляут,new_root,абляут
абляци,абляция,new_root,абляци
аболици,аболиционизм; аболиционист; аболиционистский,new_root,аболици
абон,абонент; абонентский; абонемент; абонементный; абонентка; абонированный; абонировать; абонироваться,new_root,абон
аборд,абордированный; абордировать; абордироваться,new_root,аборд
абориген,абориген,new_root,абориген
аборт,аборт; абортарий; абортивный; абортированный; абортировать; абортироваться,new_root,аборт
абрази,абразионный,new_root,абрази
абразив,абразивный; абразив; жидкостно-абразивный,new_root,абразив
абракадабр,абракадабра,new_root,абракадабр
абрек,абрек,new_root,абрек
абрикос,абрикос; абрикосовый; абрикосный,new_root,абрикос
абрикот,абрикотин,new_root,абрикот
абрис,абрис,new_root,абрис
абруцц,абруццкий,new_root,абруцц
абсент,абсент; абсентеизм; абсентеист,new_root,абсент
абсолют,абсолют; абсолютизировать; абсолютивный; абсолютизироваться; абсолютистский,new_root,абсолют
абстраг,абстрагироваться; абстрагирование; абстрагировать; абстрагированный,new_root,абстраг
абстрак,абстракция; абстракционизм; абстракционист; абстракционистский,new_root,абстрак
абстракт,абстрактный,new_root,абстракт
абсурд,абсурдный,new_root,абсурд
абсцисс,абсцисса,new_root,абсцисс
абхаз,абхазец; абхазка,new_root,абхаз
абцуг,абцуг,new_root,абцуг
абшид,абшид,new_root,абшид
абштрих,абштрих,new_root,абштрих
аваль,аваль,new_root,аваль
аван,авангард; авангардист; авангардистский; аванзал; аванпорт; аванпост; аванпостный; аванрейд,new_root,аван
авангард,неоавангардистский,new_root,авангард
аванс,аванс; авансовый; авансирование; авансированный; авансодатель; авансодержатель; заавансированный,new_root,аванс
авантаж,авантажный,new_root,авантаж
авантюр,авантюра; авантюризм; авантюристический; авантюристский,new_root,авантюр
авар,авар; аварец; аварка; аварский,new_root,авар
авари,авария,new_root,авари
аварий,безаварийный; аварийно,new_root,аварий
авгур,авгур,new_root,авгур
авест,авестийский; авестский,new_root,авест
ави,авиация; авиаторский; авифауна; гидроавиационный; гидроавиация; инженерно-авиационный,new_root,ави
