tikhonov_root,lemmas,decision,root
абажур,абажур; абажуродержатель,,
абаз,абаз,,
абазин,абазинский,,
абак,абак,,
аббат,аббатиса; аббатский,,
аббреви,аббревиатура; аббревиация,,
абдик,абдикация,,
абдомен,абдомен,,
абдомин,абдоминальный,,
абзац,абзац; абзацный,,
абиетин,абиетин; абиетиновый,,
абиссальн,абиссальный,,
абиссин,абиссинец; абиссинский,,
абитури,абитуриент,,
аблакт,аблактированный; аблактировать; аблактироваться; аблактировка,,
аблатив,аблатив,,
аблятив,аблятив,,
абляут,абляут,,
абляци,абляция,,
аболици,аболиционизм; аболиционист; аболиционистский,,
абон,абонент; абонентский; абонемент; абонементный; абонентка; абонированный; абонировать; абонироваться,,
аборд,абордированный; абордировать; абордироваться,,
абориген,абориген,,
аборт,аборт; абортарий; абортивный; абортированный; абортировать; абортироваться,,
абрази,абразионный,,
абразив,абразивный; абразив; жидкостно-абразивный,,
абракадабр,абракадабра,,
абрек,абрек,,
абрикос,абрикос; абрикосовый; абрикосный,,
абрикот,абрикотин,,
абрис,абрис,,
абруцц,абруццкий,,
абсент,абсент; абсентеизм; абсентеист,,
абсолют,абсолют; абсолютизировать; абсолютивный; абсолютизироваться; абсолютистский,,
абстраг,абстрагироваться; абстрагирование; абстрагировать; абстрагированный,,
абстрак,абстракция; абстракционизм; абстракционист; абстракционистский,,
абстракт,абстрактный,,
абсурд,абсурдный,,
абсцисс,абсцисса,,
абхаз,абхазец; абхазка,,
абцуг,абцуг,,
абшид,абшид,,
абштрих,абштрих,,
аваль,аваль,,
аван,авангард; авангардист; авангардистский; аванзал; аванпорт; аванпост; аванпостный; аванрейд,,
авангард,неоавангардистский,,
аванс,аванс; авансовый; авансирование; авансированный; авансодатель; авансодержатель; заавансированный,,
авантаж,авантажный,,
авантюр,авантюра; авантюризм; авантюристический; авантюристский,,
авар,авар; аварец; аварка; аварский,,
авари,авария,,
аварий,безаварийный; аварийно,,
авгур,авгур,,
авест,авестийский; авестский,,
ави,авиация; авиаторский; авифауна; гидроавиационный; гидроавиация; инженерно-авиационный,,
авиа,авиакомпания; авиабаза; авиалиния; авиабилет; авиалайнер; авиатехник; авиастроительный; авиаконструктор; авиабомба; авиадвигатель; авиадиспетчер; авианосный; авиазавод; авиапромышленность; авиаотряд; авиабензин; авиагоризонт; авиадвигателестроительный; авиадесант; авиалесоохрана; авиаметеослужба; авиамоделизм; авиамоделист; авиамодель; авиамотор; авиамоторостроение; авианавигационный; авиаопрыскивание; авиапарк; авиаподкормка; авиапочта; авиаприбор; авиаразведка; авиаракетный; авиаракетостроительный; авиасвязь; авиасекстант; авиаспорт; авиастроительство; авиатика; авиатранспорт; авиатрасса; авиахимический; авиационнокосмический; авиационноракетный; авиационноспортивный; авиачасть; авиашкола,,
авиз,авизировать; авизный,,
авл,окровавленный; искровавленный; окровавливать; перержавленный; проржавленный; ржавление,,
аврал,аврал,,
авраль,авральный,,
аврор,аврора,,
австр,австро-германский; австро-итало-французский; австро-советский; австроазиатский,,
австрал,австралоидный; австралопитек,,
австрали,австралиец,,
австралий,австралийский; австралийка; восточноавстралийский; западноавстралийский; южноавстралийский,,
австри,австриец; австрияк; австриячка,,
австрий,австрийский; австрийка; итало-австрийский,,
авт,автол,,
автарк,автаркический,,
автарки,автаркия,,
авто,автомобиль; автомобильный; автограф; автопилот; автобусный; автотранспорт; автосалон; автомобилист; авторучка; автостоянка; автодорога; микроавтобус; автосервис; автокатастрофа; автосамосвал; автобаза; автомагистраль; автопарк; автовокзал; автопоезд; автозаводец; автостоп; автозаправочный; автотрасса; автодорожный; автоинспекция; автослесарь; автокомбинат; автомобилизация; автостанция; автоцистерна; автоаннотирование; автобиографичный; автоблокировочный; автовесы; автоводитель; автогамия; автогенез; автогенератор; автогенно-сварочный; автогенный; автогидроподъемник; автогравюра; автогрейдер; автогрузовой; автогужевой; автодиспетчер; автодоение; автодрезина; автозаводской; автозаправщик; автокатализ; автокинопередвижка; автоклуб; автоколебательный; автокомментарий; автокормушка; автокоррекция; автокосметика; автократический; автократия; автокружок; автолесовоз; автолиз; автолитография; автомассажер; автомашинист; автометаморфизм; автомеханический; автомобилеопрокидыватель; автомобилеразгрузчик; автомобилестроительный; автомобилетракторостроение; автомобилизм; автомобиль-вышка; автомобильно-дорожный; автомобильно-железнодорожный; автомобильно-тракторный; автомодельный; автоморфизм; автомотоклуб; автомотолотерея; автомотолюбитель; автомоторный; автомотоспортивный; автомототранспорт; автомототуризм; автомотриса; автооператор; автопансионат; автопассажир; автопассажирский; автопатруль; автоперевозка; автопередвижка; автопередвижной; автоплуг; автоподзавод; автопоилка; автопокрышка; автопреобразователь; автопрокат; авторадиограмма; авторазливочный; авторегулятор; авторезина; авторессора; авторефрижератор; авторотация; авторулевой; автостарт; автостартер; автосцеп; автосцепка; автотермоцистерна; автотехобслуживание; автотипия; автотипный; автотомия; автотормоз; автотормозной; автотракторный; автотракторостроение; автотренажер; автотропизм; автотуризм; автотурист; автотягач; автофазировка; автофилия; автохарактеристика; автохромный; автохронометраж; авточасть; автоштурман; автощеповоз; автощетка; автоэлектронный,,
автобус,автобус; автобусно-таксомоторный,,
автомат,автоматический; автоматизированный; автоматизация; автоматика; автоматный; автоматизировать; автоматизм; полуавтоматический; полуавтомат; автоматизирование; автоматизироваться; автоматичный; автоматно-пулеметный; автоматчица; высокоавтоматизированный; деавтоматизация; касса-автомат; пневмоавтоматика; поточно-автоматизированный; сборочно-автоматический; станок-автомат; телеавтоматика; телеавтоматический,,
автомат-,автомат-упаковщик,,
автоном,автономический,,
автономи,автономия,,
автор,автор; авторский; соавтор; соавторство; авторизованный; авторизировать; авторизовать; авторско-правовой; соавторский,,
авторитарн,авторитарный,,
авторитет,авторитетный; высокоавторитетный,,
автохтон,автохтон; автохтонный,,
авь,ржавь,,
аг,агглютинабельный; агглютинативный; агглютинация; агглютинин; агглютинирование; агглютинировать; агглютинироваться; агглютинирующий; аггравация,,
ага,ага-хан,,
агам,агама,,
агар,агар-агар; агарный; агаровый,,
агглютин,гемагглютинация,,
агент,агентство; агентура; агентурный; агентский; агентирование; трансагентство; хладагент,,
агио,агиографический; агиография; агиология,,
агит,агитатор; агитировать; агитационный; агитпункт; сагитировать; агитаторский; агитбригада; агитвагон; агиткампания; агитколлектив; агитмассовый; агитплакат; агитпоезд; агитпропотдел; агитфильм; разагитировать; сагитированный,,
агло,аглопорит,,
агломер,агломерация; агломератчик; агломерационный; агломерировать; агломерироваться,,
агнец,агнец,,
агнози,агнозия,,
агностик,агностик,,
агностиц,агностицизм,,
агностич,агностический,,
агон,агонизировать; агонический,,
аграмант,аграмант,,
аграр,аграрный; аграрник; аграрно-промышленный,,
агрегат,агрегат; агрегатный; агрегатирование; агрегатированный; агрегатировать; агрегатно-сборочный; ветроагрегат,,
агреман,агреман,,
агресс,агрессивный; агрессивность; агрессор; агрессивно-коррозионный,,
агресси,агрессия,,
агро,агроном; агропромышленный; агротехнический; агрономический; агротехника; агрономия; агропром; агробаза; агробиолог; агробиологический; агробиология; агробиоценоз; агроботаника; агроботанический; агрогородок; агрозоотехника; агроклиматология; агрокружок; агрокультура; агролесомелиоратор; агролесомелиорация; агромелиоратор; агромелиорация; агрометеорологический; агрометр; агроминимум; агропропаганда; агрорайон; агросеть; агротехник; агроучасток; агрофизика; агрофизический; агрофитоценоз; агрохимический; агроцех; агроэкологический; агроэкономический; агроэкосистема,,
агул,агул; агулец; агулка,,
агуль,агульский,,
адалин,адалин,,
адамит,адамит,,
адамси,адамсия,,
адапт,адаптация; адаптироваться; адаптировать; адаптированный; адаптант; адаптометр; идиоадаптация; преадаптация,,
адат,адат,,
адвокат,адвокат; адвокатский; адвокатура; адвокатство; адвокатствовать,,
адденд,адденда,,
адекватн,адекватный; неадекватный,,
аден,аденовирус; аденоид; аденовирусный; аденокарцинома; бронхоаденит; дакриоаденит; лимфаденит; периаденит; фиброаденома,,
аджик,аджика,,
адиабат,адиабата; адиабатический; адиабатный,,
адидас,адидасовский,,
адм,адмотдел; адмтехперсонал; адмчасть,,
администр,административный; администратор; администрирование; административно-территориальный; административно-хозяйственный; административно-волевой; административно-дисциплинарный; административно-приказной; административно-управленческий; администраторство; администрировать; военно-административный; партийно-административный; переадминистрировать; политико-административный,,
адмирал,адмирал; контр-адмирал; адмирал-инженер; генерал-адмирал; инженер-вице-адмирал; контр-адмирал-инженер,,
адмиралтей,адмиралтейский; адмиралтейство; адмиралтейств-коллегия; адмиралтейств-совет,,
адмираль,адмиральский; адмиральство; контр-адмиральский,,
адопт,адоптация; адоптированный,,
адор,адорация,,
адренал,адреналин,,
адуляр,адуляр,,
адъектив,адъективация; адъективирование; адъективированный; адъективироваться,,
адъюнкт,адъюнкт; адъюнкта; адъюнктство; адъюнктура,,
адъютант,адъютант; генерал-адъютант; адъютантский; адъютантство; плац-адъютант; флигель-адъютантский,,
адыг,адыгский,,
адыгей,адыгейка,,
аеч,лужаечка,,
ажгон,ажгон,,
ажиот,ажиотаж; ажиотировать,,
ажур,ажурный,,
азали,азалия,,
азарин,азарин,,
азарт,азарт; азартный; азартничать,,
азбук,азбука; азбуковник,,
