tikhonov_root,auto_candidates,resolution_kind,resolved_root,resolved_canonical_root,kuznetsova_homonym_candidates,notes
а,а,deterministic,а,а,,
абажур,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абаз,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абазин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абак,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аббат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аббреви,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абдик,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абдомен,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абдомин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абзац,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абиетин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абиссальн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абиссин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абитури,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аблакт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аблатив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аблятив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абляут,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абляци,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аболици,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аборд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абориген,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аборт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абрази,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
