S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS
,быть,13010.74,,быт,3095.81,,бывать,3051.49,,добыча,2982.28,,бывший,2449.05
,жизнь,9294.42,,жить,6518.61,,живой,4968.65,,житель,2368.20,,жилье,1655.25
,идти,8981.42,,выйти,6270.60,,уйти,5957.45,,найти,5931.29,,прийти,4980.84
,человек,7711.98,,человечек,717.12,,человечество,228.94,,человеческий,195.11,,человечий,90.50
,стоять,7355.56,,встать,4928.02,,состав,4778.61,,стать,3875.11,,ставить,3737.84
,рука,7223.25,,ручка,2477.72,,рукав,2330.09,,ручной,1120.68,,поручик,905.72
,лицо,7215.47,,облик,1664.06,,личность,509.40,,личный,434.04,,лично,388.45
,взять,6925.55,,снять,4535.85,,поднять,3344.07,,прием,3164.79,,занять,2783.40
,дом,6361.34,,дома,2519.18,,домой,2341.10,,домик,2194.99,,домовой,693.05
,день,6132.34,,дневник,1585.20,,денек,1002.80,,дневной,216.79,,денщик,142.60
,дело,5814.60,,делать,3072.83,,одежда,2846.72,,одеяло,2645.75,,сделать,2636.99
,друг,5678.16,,подруга,1418.84,,дружба,950.47,,вдруг,809.60,,подружка,761.47
,ход,5668.22,,выход,3687.69,,вход,3074.01,,уходить,2943.38,,входить,2711.77
,видеть,5462.48,,вид,1587.41,,свидание,1096.76,,видимо,992.67,,увидеть,753.27
,слово,5424.32,,слава,1664.85,,словарь,1030.27,,условие,520.26,,славный,295.06
,глаз,5174.76,,глазище,1105.16,,глазок,1071.29,,глазенки,872.22,,глазница,452.86
,работа,5150.00,,работать,2609.17,,рабочий,1549.75,,работник,1151.29,,обработка,668.47
,место,5053.32,,вместе,1448.14,,помещение,1145.72,,местный,824.31,,местность,785.28
,сказать,5003.96,,показать,3125.36,,заказ,2841.75,,рассказ,2342.49,,рассказать,1857.78
,голова,4685.30,,глава,2366.07,,главный,1162.51,,головка,1020.69,,головной,494.26
,город,4622.28,,огород,1812.51,,ограда,1698.78,,городок,1079.11,,награда,1066.20
,образ,4620.35,,раз,2366.06,,образец,1916.12,,сразу,1205.91,,отражение,995.38
,год,4475.34,,погода,2005.50,,угодить,669.65,,выгода,443.60,,выгодный,362.20
,завод,4330.92,,провести,1948.59,,привести,1916.28,,вести,1915.86,,вводить,1851.02
,мочь,4307.64,,можно,2343.57,,мощный,2101.30,,помощь,2074.17,,помочь,1771.07
,жена,4226.66,,женщина,2953.06,,жених,1294.37,,жениться,878.41,,женитьба,598.41
,лежать,4143.78,,лечь,2911.11,,положить,2065.56,,сложить,1548.52,,вложить,1371.45
,большой,4141.36,,более,1253.42,,больше,823.89,,небольшой,661.34,,большевик,538.61
,народ,4139.38,,род,2897.04,,природа,2630.72,,родина,2015.52,,урожай,1910.54
,мир,4075.39,,мирный,704.84,,мировой,285.87,,мирно,229.60,,смириться,110.51
,страна,4046.40,,сторона,1734.78,,странный,1664.67,,страница,976.54,,пространство,807.47
,дача,4036.02,,дать,3204.43,,подарок,2452.88,,отдать,2374.00,,дар,2004.56
,стол,3919.48,,столик,1871.65,,постель,1575.35,,столица,1223.30,,престол,759.53
,отец,3906.78,,вотчина,609.65,,отчим,457.57,,отечество,231.63,,отцовский,170.39
,письмо,3816.73,,писать,3761.89,,написать,2233.65,,список,2078.91,,записка,1956.92
,сидеть,3792.17,,сад,3305.45,,сесть,2129.29,,сосед,1587.71,,присесть,1329.40
,знак,3668.34,,знамя,2673.35,,знать,2499.46,,узнать,1597.09,,знакомый,1593.92
,бог,3632.25,,богиня,1451.35,,божий,1029.82,,богатый,678.51,,божество,582.42
,нога,3623.87,,ножка,1866.75,,ноготь,1558.40,,ноготок,1069.84,,подножие,527.59
,сила,3525.67,,сильный,1787.59,,усилие,1018.97,,насилие,236.59,,силовой,222.34
,час,3381.26,,часы,868.00,,подчас,145.06,,часовой,53.78,,часик,49.36
,вода,3277.65,,водный,1722.30,,водка,1654.11,,водяной,1237.46,,подводный,611.43
,голос,3236.97,,пригласить,522.94,,приглашение,499.54,,приглашать,363.70,,голосовать,251.98
,полный,3140.80,,заполнить,766.87,,наполнить,746.12,,вполне,487.21,,выполнять,360.24
,лес,3101.00,,лесок,1516.43,,лесной,1172.66,,подлесок,851.84,,перелесок,752.76
,дверь,3066.48,,дверца,1559.16,,дверка,1320.35,,дверной,697.42,,преддверие,92.12
,книга,3054.52,,книжка,1804.08,,книжица,1080.07,,книжечка,925.56,,книжник,589.99
,окно,3041.50,,очки,2243.74,,окошко,1527.07,,оконце,1339.87,,око,1252.93
,свет,3017.62,,свеча,1975.13,,рассвет,1366.13,,светлый,1195.22,,светить,835.69
,точка,3015.83,,ткань,2149.06,,сутки,489.96,,точный,488.83,,ткнуть,478.92
,муж,3005.63,,мужчина,2147.79,,мужик,1263.85,,замуж,318.55,,мужской,304.33
,язык,2987.06,,язычок,711.01,,язычник,298.09,,языковой,62.63,,языческий,47.91
,круг,2975.34,,круглый,1080.97,,вокруг,701.03,,окружающее,488.39,,округ,394.33
,утро,2914.45,,поутру,1320.48,,утренник,852.19,,наутро,797.56,,утреня,682.30
,ребенок,2858.83,,ребята,1660.86,,ребеночек,851.29,,робята,667.34,,ребятки,633.59
,белый,2856.02,,белеть,1402.04,,белок,1201.57,,пробел,769.98,,белковый,500.96
,начать,2824.08,,начинать,1488.89,,начало,1233.88,,начальник,1067.93,,начаться,607.94
,поезд,2822.07,,ехать,2772.68,,уехать,1967.31,,поехать,1823.52,,ездить,1820.88
,тело,2804.19,,тельняшка,755.74,,тельце,702.74,,телеса,644.69,,тельник,528.15
,брать,2782.52,,сбор,2455.08,,выбор,2043.03,,избрать,1852.15,,убрать,1686.92
,крыша,2764.46,,открыть,2049.32,,крышка,1905.15,,закрыть,1545.96,,открытый,1380.42
,след,2722.85,,следить,1122.41,,следовать,788.14,,наследник,779.01,,следователь,504.27
,улица,2707.45,,улочка,1380.88,,уличка,1238.56,,переулок,1056.77,,переулочек,627.27
,ухо,2698.51,,ушко,1762.97,,ушанка,1293.58,,подушка,1265.81,,наушник,1093.62
,ночь,2691.26,,ночник,1289.40,,ночной,1250.44,,заночевать,655.87,,ночевать,631.78
,пол,2670.80,,пола,1063.56,,половник,855.36,,половина,367.68,,половой,233.25
,читать,2654.01,,считать,1352.44,,читатель,1086.10,,учесть,1004.44,,почти,993.78
,ключ,2653.14,,включать,517.72,,включить,499.19,,приключение,423.19,,включение,241.90
,ряд,2652.09,,отряд,1608.82,,наряд,1290.44,,снаряд,884.79,,порядок,837.51
,театр,2617.43,,театрик,1041.64,,театрал,564.89,,театральный,193.71,,театрально,9.44
,еще,2614.39,,,,,,,,,,,,
,нести,2607.70,,носить,1598.83,,принести,1582.47,,вынести,1388.72,,отнести,1314.60
,дорога,2597.31,,дорогой,450.57,,дорожка,390.37,,дорожный,68.91,,придорожный,67.22
,смотреть,2582.86,,посмотреть,1423.47,,осмотреть,346.04,,несмотря,253.44,,рассмотреть,211.10
,душа,2568.92,,духи,2242.23,,воздух,2014.09,,дух,1895.60,,воздушный,461.27
,любовь,2566.07,,любить,2450.31,,любимый,998.91,,влюбиться,626.30,,любитель,424.03
,брат,2559.08,,браток,1305.90,,братва,714.01,,братишка,463.86,,собрат,137.34
,нос,2553.31,,носик,1520.80,,носок,949.65,,подносик,422.01,,переносье,369.26
,игра,2528.08,,играть,2241.21,,игрушка,1425.60,,игрок,1398.78,,сыграть,1188.21
