Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane
3320,быть,v,12160.7,100,98,34184,бв,13920.2,1,3,0
3285,бывать,v,297.3,100,96,6512,бв,13920.2,2,3,0
10685,забыть,v,226.0,100,95,4910,бв,13920.2,2,2,0
39939,событие,s,206.5,100,95,6250,бв,13920.2,2,3,0
3286,бывший,a,191.5,100,96,5675,бв,13920.2,2,3,0
10680,забывать,v,65.4,100,97,2923,бв,13920.2,2,2,0
32520,прибыть,v,55.7,100,95,2055,бв,13920.2,3,3,0
32515,прибыль,s,48.5,99,91,2094,бв,13920.2,2,4,0
9185,добыча,s,45.3,97,92,1603,бв,13920.2,4,3,0
28881,побывать,v,42.5,99,95,1946,бв,13920.2,2,3,0
3311,бытие,s,40.9,100,87,1213,бв,13920.2,1,3,0
31981,пребывание,s,34.9,100,89,1481,бв,13920.2,2,3,0
3310,быт,s,34.0,100,94,1449,бв,13920.2,3,3,0
3318,бытовой,a,32.0,100,93,1685,бв,13920.2,2,3,0
31982,пребывать,v,24.1,99,94,1174,бв,13920.2,2,3,0
43902,убыток,s,21.1,98,82,918,бв,13920.2,2,1,0
9184,добыть,v,19.9,96,95,971,бв,13920.2,4,3,0
41152,стать,v,1621.8,100,97,21235,ста(j),12093.6,1,3,0
41330,стоить,v,501.9,100,97,11503,ста(j),12093.6,1,3,0
25690,остаться,v,482.7,100,97,10602,ста(j),12093.6,2,3,0
41425,стоять,v,419.3,100,93,5109,ста(j),12093.6,4,3,0
41154,статья,s,395.0,100,76,5744,ста(j),12093.6,2,3,0
21222,настоящий,a,374.0,100,87,10034,ста(j),12093.6,2,3,0
25675,оставаться,v,327.4,100,98,9585,ста(j),12093.6,2,3,0
40422,состояние,s,294.4,100,92,8231,ста(j),12093.6,2,3,0
31366,поставить,v,267.3,100,98,7836,ста(j),12093.6,4,3,0
41051,становиться,v,259.3,100,97,7869,ста(j),12093.6,2,3,0
32183,представить,v,247.2,100,95,8529,ста(j),12093.6,2,3,0
32187,представлять,v,228.5,100,95,8016,ста(j),12093.6,2,3,0
25676,оставить,v,210.5,100,96,5392,ста(j),12093.6,3,3,0
40411,состав,s,209.8,100,90,6754,ста(j),12093.6,3,3,0
16850,кстати,adv,190.3,100,95,6925,ста(j),12093.6,1,3,0
32177,представитель,s,185.7,100,91,7474,ста(j),12093.6,3,3,0
40416,составлять,v,175.0,100,91,7477,ста(j),12093.6,2,3,0
44963,установить,v,174.0,100,85,6094,ста(j),12093.6,3,3,0
5588,встать,v,172.1,100,93,3548,ста(j),12093.6,4,3,0
25686,остановиться,v,147.0,100,93,3158,ста(j),12093.6,3,3,0
32185,представление,s,142.2,100,89,4128,ста(j),12093.6,2,3,0
40425,состоять,v,139.9,100,92,5480,ста(j),12093.6,1,3,0
41000,ставить,v,138.7,100,97,4950,ста(j),12093.6,4,3,0
