Number,Lemma,imageability,emotional_valence,is_profane
24385,объятие,4,4,0
29521,поднос,5,3,0
44835,усы,5,3,0
14693,катить,4,3,0
8228,двигать,4,3,0
38532,сельдь,5,3,0
17740,лить,4,3,0
37731,самолет,5,3,0
168,автомобиль,5,3,0
2253,библиотека,4,3,0
30383,полка,5,3,0
3805,вертолет,5,3,0
1258,аэропорт,4,3,0
45953,футбол,4,3,0
16248,коса,5,3,0
47435,шахматы,4,3,0
7726,град,5,2,0
12714,зоопарк,4,4,0
2297,бинокль,5,3,0
4651,водоросль,5,3,0
38156,светофор,5,3,0
4638,водопад,5,4,0
19191,микроскоп,5,3,0
34941,пылесос,5,3,0
1529,баскетбол,4,3,0
14144,кабачок,5,3,0
42460,телескоп,5,3,0
4903,волейбол,4,3,0
42646,термос,5,3,0
8939,динозавр,5,3,0
18383,манго,5,3,0
9905,дупло,5,3,0
10504,жираф,5,3,0
1616,бегемот,5,3,0
26987,пантера,5,3,0
6949,гепард,5,3,0
17935,лосось,5,3,0
20195,мята,5,3,0
45664,фламинго,5,3,0
43768,тюлень,5,3,0
45412,фасоль,5,3,0
25454,орхидея,5,4,0
3496,вафля,5,4,0
14814,кекс,5,4,0
30856,пончик,5,4,0
45611,финик,5,3,0
43642,тунец,5,3,0
25849,отвертка,5,3,0
7716,грабли,5,3,0
42628,терка,5,3,0
39017,скалка,5,3,0
39253,скрепка,5,3,0
46743,циркуль,5,3,0
12467,зебра,5,3,0
23405,носорог,5,3,0
14827,кенгуру,5,3,0
15244,коала,5,4,0
348,аист,5,3,0
10045,дятел,5,3,0
1505,барсук,5,3,0
10185,енот,5,3,0
46013,хамелеон,5,3,0
25776,осьминог,5,3,0
15071,клевер,5,4,0
17579,лиана,5,3,0
16497,кратер,5,3,0
23499,оазис,5,4,0
14130,йогурт,5,3,0
12539,зефир,5,4,0
9429,домино,5,3,0
3185,бумеранг,5,3,0
14371,канистра,5,3,0
46338,хомяк,5,4,0
33422,прищепка,5,3,0
27228,пастух,4,3,0
27383,пеликан,5,3,0
521,алоэ,5,3,0
33365,прицеп,5,3,0
9776,дрель,5,3,0
37265,ромб,5,3,0
14728,качели,5,4,0
48594,юла,5,3,0
26917,палитра,5,3,0
14707,катушка,5,3,0
37724,самокат,5,3,0
38216,свиток,5,3,0
40448,сота,5,3,0
44408,улей,5,3,0
1568,батут,5,4,0
10235,жабра,5,3,0
28413,пипетка,5,3,0
16055,копилка,5,4,0
18496,мармелад,5,4,0
15199,клюшка,5,3,0
360,акваланг,5,3,0
17264,ласт,5,3,0
