Number,Lemma,imageability,emotional_valence,is_profane
29521,поднос,,,
44835,усы,,,
14693,катить,,,
8228,двигать,,,
38532,сельдь,,,
17740,лить,,,
37731,самолет,,,
168,автомобиль,,,
2253,библиотека,,,
30383,полка,,,
3805,вертолет,,,
1258,аэропорт,,,
45953,футбол,,,
16248,коса,,,
47435,шахматы,,,
7726,град,,,
12714,зоопарк,,,
2297,бинокль,,,
4651,водоросль,,,
38156,светофор,,,
4638,водопад,,,
19191,микроскоп,,,
34941,пылесос,,,
1529,баскетбол,,,
14144,кабачок,,,
42460,телескоп,,,
4903,волейбол,,,
42646,термос,,,
8939,динозавр,,,
18383,манго,,,
9905,дупло,,,
10504,жираф,,,
1616,бегемот,,,
26987,пантера,,,
6949,гепард,,,
17935,лосось,,,
20195,мята,,,
45664,фламинго,,,
43768,тюлень,,,
45412,фасоль,,,
25454,орхидея,,,
3496,вафля,,,
14814,кекс,,,
30856,пончик,,,
45611,финик,,,
43642,тунец,,,
25849,отвертка,,,
7716,грабли,,,
42628,терка,,,
39017,скалка,,,
39253,скрепка,,,
46743,циркуль,,,
12467,зебра,,,
23405,носорог,,,
14827,кенгуру,,,
15244,коала,,,
348,аист,,,
10045,дятел,,,
1505,барсук,,,
10185,енот,,,
25776,осьминог,,,
15071,клевер,,,
17579,лиана,,,
16497,кратер,,,
23499,оазис,,,
14130,йогурт,,,
12539,зефир,,,
9429,домино,,,
3185,бумеранг,,,
14371,канистра,,,
46338,хомяк,,,
33422,прищепка,,,
27228,пастух,,,
27383,пеликан,,,
521,алоэ,,,
33365,прицеп,,,
9776,дрель,,,
37265,ромб,,,
14728,качели,,,
48594,юла,,,
26917,палитра,,,
14707,катушка,,,
37724,самокат,,,
38216,свиток,,,
40448,сота,,,
44408,улей,,,
1568,батут,,,
10235,жабра,,,
28413,пипетка,,,
16055,копилка,,,
18496,мармелад,,,
15199,клюшка,,,
360,акваланг,,,
6739,гамак,,,
17235,ландыш,,,
926,арахис,,,
15351,кокос,,,
37847,сандалия,,,
4629,водолаз,,,
7465,гонг,,,
10034,дюна,,,
776,антилопа,,,
2936,брелок,,,
7478,гончар,,,
38441,седло,,,
15350,кокон,,,
