Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane
24385,объятие,s,17.7,96,93,796,ем,7446.5,4,4,0
29521,поднос,s,11.6,91,91,452,наш,2463.4,5,3,0
44835,усы,s,29.4,100,92,935,ус,48.2,5,3,0
14693,катить,v,7.6,87,90,405,кат-1,419.2,4,3,0
8228,двигать,v,14.3,99,96,820,дви,885.9,4,3,0
38532,сельдь,s,1.4,60,88,97,селёд,1.4,5,3,0
17740,лить,v,10.4,97,93,568,ле(j),620.5,4,3,0
37731,самолет,s,166.1,100,92,2777,"сам,лет-2",1353.9,5,3,0
168,автомобиль,s,156.9,100,92,3453,"авто,мобиль",712.9,5,3,0
2253,библиотека,s,57.7,100,95,1759,"библи,тач-1",1101.0,4,3,0
30383,полка,s,41.9,100,94,1410,"пол-1,пал-2,пол-5",1199.9,5,3,0
3805,вертолет,s,38.7,97,89,872,"вер-2,лет-2",1638.8,5,3,0
1258,аэропорт,s,37.2,99,93,1182,"аэр,порт-3",208.6,4,3,0
45953,футбол,s,27.4,96,90,1004,"фут,бол-2",2967.4,4,3,0
16248,коса,s,19.1,97,91,649,"каш-1,каш-3,кос-3",366.5,5,3,0
47435,шахматы,s,19.0,96,92,633,"шах,мат-1",501.2,4,3,0
7726,град,s,12.4,97,89,599,"гораж,град-2",1490.6,5,2,0
12714,зоопарк,s,12.4,98,90,484,"зоо,парк",109.3,4,4,0
2297,бинокль,s,10.6,91,88,343,"бин,окль",21.9,5,3,0
4651,водоросль,s,8.8,91,80,333,"вод-2,рас",2090.1,5,3,0
38156,светофор,s,8.0,90,91,426,"свес,фор",864.7,5,3,0
4638,водопад,s,7.3,95,88,356,"па-1,вод-2",2101.0,5,4,0
19191,микроскоп,s,6.0,93,87,278,"микро,скоп",46.4,5,3,0
34941,пылесос,s,6.0,83,80,224,"пыл-2,сас",171.3,5,3,0
1529,баскетбол,s,4.8,67,86,202,"баскет,бол-2",2916.3,4,3,0
14144,кабачок,s,4.2,84,85,171,"кабак,кабач-2",15.2,5,3,0
42460,телескоп,s,3.8,72,83,163,"теле,скоп",193.8,5,3,0
4903,волейбол,s,3.7,80,88,222,"волейбол,бол-2",2911.6,4,3,0
42646,термос,s,3.7,82,90,206,"терм,ос-2",60.4,5,3,0
8939,динозавр,s,3.1,77,90,186,"дино,завр",6.7,5,3,0
18383,манго,s,1.1,35,82,54,манго,1.1,5,3,0
9905,дупло,s,2.6,66,87,132,дупл,2.6,5,3,0
10504,жираф,s,2.6,70,86,125,жираф,3.1,5,3,0
1616,бегемот,s,3.0,74,87,159,бегемот,3.0,5,3,0
26987,пантера,s,2.1,60,70,102,пантер,2.1,5,3,0
6949,гепард,s,1.2,25,59,31,гепард,1.2,5,3,0
17935,лосось,s,1.7,58,86,89,лосос,2.8,5,3,0
20195,мята,s,2.2,70,88,135,мят-2,3.3,5,3,0
45664,фламинго,s,0.5,30,82,39,фламинго,0.5,5,3,0
43768,тюлень,s,2.6,58,79,93,тюлен,3.0,5,3,0
45412,фасоль,s,3.0,72,83,137,фасол,3.0,5,3,0
25454,орхидея,s,2.4,73,88,130,орхиде,2.4,5,4,0
3496,вафля,s,1.5,47,70,70,вафел,2.9,5,4,0
14814,кекс,s,1.1,47,83,71,кекс,1.1,5,4,0
30856,пончик,s,1.5,40,64,50,пончик,1.5,5,4,0
45611,финик,s,0.9,40,83,56,финик,1.3,5,3,0
43642,тунец,s,0.7,27,71,32,тунец,0.7,5,3,0
25849,отвертка,s,2.4,77,91,148,вер-2,831.3,5,3,0
7716,грабли,s,3.7,89,92,249,граб-1,194.0,5,3,0
42628,терка,s,1.7,58,82,88,тер-1,221.0,5,3,0
39017,скалка,s,0.7,42,86,54,скал-2,0.7,5,3,0
39253,скрепка,s,2.3,63,81,105,креп,366.7,5,3,0
46743,циркуль,s,1.5,53,84,87,циркуль,2.0,5,3,0
12467,зебра,s,1.9,70,87,116,зебр,1.9,5,3,0
