Number,Lemma,imageability,emotional_valence,is_profane
3320,быть,,,
3285,бывать,,,
10685,забыть,,,
39939,событие,,,
3286,бывший,,,
10680,забывать,,,
32520,прибыть,,,
32515,прибыль,,,
9185,добыча,,,
28881,побывать,,,
41152,стать,,,
41330,стоить,,,
25690,остаться,,,
41425,стоять,,,
41154,статья,,,
21222,настоящий,,,
25675,оставаться,,,
40422,состояние,,,
31366,поставить,,,
41051,становиться,,,
13318,иметь,,,
30867,понять,,,
30831,понимать,,,
4144,взять,,,
33006,принять,,,
4532,внимание,,,
32147,предприятие,,,
11578,заниматься,,,
32979,принимать,,,
29527,поднять,,,
38996,сказать,,,
24797,оказаться,,,
14213,казаться,,,
30082,показать,,,
36235,рассказывать,,,
36230,рассказать,,,
24800,оказываться,,,
30087,показывать,,,
14202,кажется,,,
30083,показаться,,,
19928,мочь,,,
19590,можно,,,
4816,возможность,,,
30764,помощь,,,
39754,смочь,,,
19587,может,,,
30761,помочь,,,
4817,возможный,,,
30741,помогать,,,
19942,мощный,,,
8502,дело,,,
38376,сделать,,,
8481,делать,,,
8433,действие,,,
8775,деятельность,,,
8434,действительно,,,
21727,неделя,,,
20444,надежда,,,
8439,действовать,,,
20458,надеяться,,,
12872,идти,,,
30075,пойти,,,
32787,прийти,,,
5965,выйти,,,
20621,найти,,,
33859,пройти,,,
44304,уйти,,,
32788,прийтись,,,
4887,войти,,,
33842,произойти,,,
21374,находиться,,,
46267,ходить,,,
33852,происходить,,,
46261,ход,,,
33346,приходить,,,
31693,похожий,,,
22246,необходимый,,,
6505,выходить,,,
45185,уходить,,,
34520,проходить,,,
12649,знать,,,
44291,узнать,,,
12653,значение,,,
12643,знание,,,
40104,сознание,,,
12661,значить,,,
12627,знакомый,,,
12635,знаменитый,,,
12660,значительный,,,
12619,знак,,,
8200,дать,,,
8112,давать,,,
10979,задача,,,
8170,данные,,,
44130,удаться,,,
25943,отдать,,,
27612,передать,,,
27614,передача,,,
33657,продажа,,,
8204,дача,,,
17390,лежать,,,
30455,положение,,,
32070,предложить,,,
30461,положить,,,
39530,сложный,,,
32066,предлагать,,,
32069,предложение,,,
32965,принадлежать,,,
20760,налог,,,
20762,налоговый,,,
3861,вести,,,
33831,производство,,,
33517,провести,,,
32541,привести,,,
33546,проводить,,,
10782,завод,,,
28971,повод,,,
33506,проведение,,,
5802,вывод,,,
28898,поведение,,,
7349,год,,,
29072,погода,,,
44053,угодно,,,
5837,выгодный,,,
7358,годовой,,,
7353,годиться,,,
29074,погодить,,,
5834,выгода,,,
32644,пригодиться,,,
44047,угодить,,,
31884,право,,,
31875,правительство,,,
31869,правило,,,
44720,управление,,,
31856,правда,,,
31926,правый,,,
20933,направление,,,
20931,направить,,,
31870,правильно,,,
31872,правильный,,,
35187,раз,,,
40904,сразу,,,
24071,образ,,,
24077,образование,,,
6234,выражение,,,
24072,образец,,,
6242,выразить,,,
13153,изображение,,,
31044,поразить,,,
31038,поражение,,,
10482,жизнь,,,
10526,жить,,,
10425,живой,,,
10443,животное,,,
10517,житель,,,
10435,живот,,,
33780,прожить,,,
10500,жилье,,,
10470,жизненный,,,
27666,переживать,,,
4179,видеть,,,
4156,вид,,,
43957,увидеть,,,
4188,видно,,,
4182,видимо,,,
38178,свидетельствовать,,,
4189,видный,,,
38174,свидетель,,,
38177,свидетельство,,,
22184,ненавидеть,,,
7336,говорить,,,
35373,разговор,,,
9242,договор,,,
35372,разговаривать,,,
29070,поговорить,,,
7337,говориться,,,
27585,переговоры,,,
10890,заговорить,,,
9245,договориться,,,
7341,говорят,,,
46895,человек,,,
46904,человеческий,,,
46905,человечество,,,
46902,человечек,,,
31728,по-человечески,,,
23117,нечеловеческий,,,
46908,человечность,,,
46906,человечий,,,
46909,человечный,,,
2220,бесчеловечный,,,
15762,конечно,,,
15761,конец,,,
11252,закон,,,
20684,наконец,,,
11273,закончить,,,
16018,кончиться,,,
24867,окончательно,,,
24866,окончание,,,
11274,закончиться,,,
15764,конечный,,,
2753,большой,,,
2701,более,,,
2740,больше,,,
21516,небольшой,,,
2752,большинство,,,
20593,наиболее,,,
2751,больший,,,
2742,большевик,,,
20594,наибольший,,,
2743,большевистский,,,
2912,брать,,,
39901,собираться,,,
5752,выбор,,,
5759,выборы,,,
39924,собрание,,,
5764,выбрать,,,
39928,собрать,,,
39929,собраться,,,
39900,собирать,,,
5746,выбирать,,,
35048,работа,,,
35049,работать,,,
35064,рабочий,,,
35053,работник,,,
35746,разработка,,,
35745,разработать,,,
24066,обработка,,,
11830,заработать,,,
11829,зарабатывать,,,
35042,раб,,,
31274,последний,,,
39423,следовать,,,
39431,следующий,,,
13962,исследование,,,
39416,след,,,
39418,следить,,,
31281,последствие,,,
39428,следствие,,,
39420,следователь,,,
5533,вслед,,,
5403,время,,,
40008,современный,,,
5398,временной,,,
4596,вовремя,,,
40004,современник,,,
5397,временно,,,
40007,современность,,,
5400,временный,,,
29002,повременить,,,
1704,безвременно,,,
31771,почти,,,
42056,считать,,,
47180,читать,,,
42057,считаться,,,
47177,читатель,,,
34554,прочитать,,,
34551,прочесть,,,
45245,учитывать,,,
36315,рассчитывать,,,
47221,чтение,,,
39968,советский,,,
25857,ответить,,,
25855,ответ,,,
39964,совет,,,
25865,отвечать,,,
40259,соответствие,,,
40261,соответствующий,,,
25861,ответственность,,,
40260,соответствовать,,,
40257,соответственно,,,
41406,сторона,,,
41446,страна,,,
41454,странный,,,
34300,пространство,,,
13551,иностранный,,,
41447,страница,,,
41451,странно,,,
36151,распространение,,,
13549,иностранец,,,
36155,распространить,,,
21041,народ,,,
18797,международный,,,
33122,природа,,,
37150,род,,,
37156,родитель,,,
21052,народный,,,
37167,родной,,,
37160,родиться,,,
37189,рождение,,,
37154,родина,,,
28451,писать,,,
20881,написать,,,
28472,письмо,,,
28447,писатель,,,
40717,список,,,
29604,подписать,,,
11693,запись,,,
25122,описать,,,
11686,записать,,,
25120,описание,,,
26209,отношение,,,
26208,относиться,,,
32972,принести,,,
22879,нести,,,
23399,носить,,,
33838,произнести,,,
32983,приносить,,,
4516,внести,,,
6106,вынести,,,
26200,отнести,,,
5028,вопрос,,,
40855,спросить,,,
34198,просить,,,
40842,спрашивать,,,
30983,попросить,,,
34333,просьба,,,
40854,спрос,,,
11787,запрос,,,
9528,допрос,,,
25250,опрос,,,
10232,еще,,,
44256,уже,,,
44242,уж,,,
44266,ужо,,,
18996,место,,,
4473,вместе,,,
18995,местный,,,
11464,заместитель,,,
30717,помещение,,,
39987,совместный,,,
18993,местность,,,
35596,размещение,,,
30696,поместить,,,
35584,разместить,,,
17781,лицо,,,
35545,различный,,,
17790,личный,,,
17789,личность,,,
26119,отличаться,,,
26120,отличие,,,
20752,наличие,,,
17785,лично,,,
26128,отличный,,,
26127,отлично,,,
48657,являться,,,
31841,появиться,,,
12377,заявить,,,
31843,появляться,,,
12380,заявление,,,
24373,объявить,,,
48658,явно,,,
48654,явление,,,
31842,появление,,,
48652,явиться,,,
24333,общий,,,
5000,вообще,,,
24324,общество,,,
24323,общественный,,,
40250,сообщить,,,
40248,сообщение,,,
24304,общение,,,
40246,сообщать,,,
24285,общаться,,,
40249,сообщество,,,
39573,случай,,,
30618,получить,,,
30615,получать,,,
30619,получиться,,,
30616,получаться,,,
30617,получение,,,
39576,случайный,,,
39575,случайность,,,
30614,получатель,,,
11742,заполучить,,,
38801,сидеть,,,
38733,сесть,,,
32159,председатель,,,
37591,сад,,,
40364,сосед,,,
11922,заседание,,,
37599,садиться,,,
40366,соседний,,,
31191,посадить,,,
