root,root_base,canonical_root,source,examples
∅,∅,ем,kuznetsova,вынуть; вынуться
а,а,а,kuznetsova,а; аканье; акать; акающий; бамовец; бамовский; досаафовец; досаафовский; тассовский
абажур,абажур,абажур,tikhonov_new,абажур; абажуродержатель
абаз,абаз,абаз,tikhonov_new,абаз
абазин,абазин,абазин,tikhonov_new,абазинский
абак,абак,абак,tikhonov_new,абак
аббат,аббат,аббат,tikhonov_new,аббатиса; аббатский
аббреви,аббреви,аббреви,tikhonov_new,аббревиатура; аббревиация
абдик,абдик,абдик,tikhonov_new,абдикация
абдомен,абдомен,абдомен,tikhonov_new,абдомен
абдомин,абдомин,абдомин,tikhonov_new,абдоминальный
абзац,абзац,абзац,tikhonov_new,абзац; абзацный
абиетин,абиетин,абиетин,tikhonov_new,абиетин; абиетиновый
абиссальн,абиссальн,абиссальн,tikhonov_new,абиссальный
абиссин,абиссин,абиссин,tikhonov_new,абиссинец; абиссинский
абитури,абитури,абитури,tikhonov_new,абитуриент
аблакт,аблакт,аблакт,tikhonov_new,аблактированный; аблактировать; аблактироваться; аблактировка
аблатив,аблатив,аблатив,tikhonov_new,аблатив
аблятив,аблятив,аблятив,tikhonov_new,аблятив
абляут,абляут,абляут,tikhonov_new,абляут
абляци,абляци,абляци,tikhonov_new,абляция
аболици,аболици,аболици,tikhonov_new,аболиционизм; аболиционист; аболиционистский
абон,абон,абон,tikhonov_new,абонент; абонентский; абонемент; абонементный; абонентка; абонированный; абонировать; абонироваться
аборд,аборд,аборд,tikhonov_new,абордированный; абордировать; абордироваться
абориген,абориген,абориген,tikhonov_new,абориген
аборт,аборт,аборт,tikhonov_new,аборт; абортарий; абортивный; абортированный; абортировать; абортироваться
абрази,абрази,абрази,tikhonov_new,абразионный
абразив,абразив,абразив,tikhonov_new,абразивный; абразив; жидкостно-абразивный
абракадабр,абракадабр,абракадабр,tikhonov_new,абракадабра
абрек,абрек,абрек,tikhonov_new,абрек
абрикос,абрикос,абрикос,tikhonov_new,абрикос; абрикосовый; абрикосный
абрикот,абрикот,абрикот,tikhonov_new,абрикотин
абрис,абрис,абрис,tikhonov_new,абрис
абруцц,абруцц,абруцц,tikhonov_new,абруццкий
абсент,абсент,абсент,tikhonov_new,абсент; абсентеизм; абсентеист
абсолют,абсолют,абсолют,tikhonov_new,абсолют; абсолютизировать; абсолютивный; абсолютизироваться; абсолютистский
абстраг,абстраг,абстраг,tikhonov_new,абстрагироваться; абстрагирование; абстрагировать; абстрагированный
абстрак,абстрак,абстрак,tikhonov_new,абстракция; абстракционизм; абстракционист; абстракционистский
абстракт,абстракт,абстракт,tikhonov_new,абстрактный
абсурд,абсурд,абсурд,tikhonov_new,абсурдный
абсцисс,абсцисс,абсцисс,tikhonov_new,абсцисса
абхаз,абхаз,абхаз,tikhonov_new,абхазец; абхазка
абцуг,абцуг,абцуг,tikhonov_new,абцуг
абшид,абшид,абшид,tikhonov_new,абшид
абштрих,абштрих,абштрих,tikhonov_new,абштрих
аваль,аваль,аваль,tikhonov_new,аваль
аван,аван,аван,tikhonov_new,авангард; авангардист; авангардистский; аванзал; аванпорт; аванпост; аванпостный; аванрейд
авангард,авангард,авангард,tikhonov_new,неоавангардистский
аванс,аванс,аванс,tikhonov_new,аванс; авансовый; авансирование; авансированный; авансодатель; авансодержатель; заавансированный
авантаж,авантаж,авантаж,tikhonov_new,авантажный
авантюр,авантюр,авантюр,tikhonov_new,авантюра; авантюризм; авантюристический; авантюристский
авар,авар,авар,tikhonov_new,авар; аварец; аварка; аварский
авари,авари,авари,tikhonov_new,авария
аварий,аварий,аварий,tikhonov_new,безаварийный; аварийно
авгур,авгур,авгур,tikhonov_new,авгур
август,август,август,kuznetsova,август; августовский; августинец
авест,авест,авест,tikhonov_new,авестийский; авестский
ави,ави,ави,tikhonov_new,авиация; авиаторский; авифауна; гидроавиационный; гидроавиация; инженерно-авиационный
