root,IPM
а,2.7
абажур,4.9
аббат,2.5
аббреви,3.5
аберрац,0.7
абзац,10.2
абитури,4.0
абон,15.3
абордаж,0.5
абориген,5.8
аборт,8.3
абразив,0.9
абракадабр,1.0
абрек,1.3
абрикос,4.5
абрис,1.1
абсент,1.4
абсолют,136.1
абстраг,1.9
абстрак,6.8
абстракт,16.6
абсурд,16.4
абсцесс,0.4
абсцисс,0.9
абхаз,4.2
аван,12.0
авангард,3.9
аванс,8.5
авансцена,2.5
авантюр,13.7
авари,29.6
аварий,15.6
авва,1.3
авгий,0.5
август,97.7
авеню,2.3
ави,38.8
авиа,71.6
авиет,0.4
авокадо,0.8
авось,4.9
аврал,1.3
авраль,0.9
австрали,2.2
австралий,5.6
австри,2.6
австрий,8.3
австро,0.5
авто,488.3
автобус,64.8
автомат,59.8
автономи,8.9
автор,301.2
авторитарн,3.7
авторитет,12.1
ага,0.9
агар,0.4
агароз,0.6
агат,0.8
агглютин,4.2
агенс,0.5
агент,96.7
агин,0.4
агит,19.5
агломер,1.1
агнец,2.5
агностик,0.5
агон,3.6
аграр,13.3
агрег,0.5
агрегат,20.0
агрегиров,0.6
агресс,23.6
агресси,13.1
агрессив,3.0
агро,14.2
агуша,0.4
ад,35.6
адажио,0.4
адамантан,0.5
адамов,0.4
адапт,24.9
адаптацион,0.6
адаптер,0.6
адаптив,2.9
адвент,0.4
адвокат,58.8
адгез,1.1
аддитив,0.7
адекват,1.3
адекватн,30.5
аден,1.6
аденома,0.5
адепт,2.8
администр,212.3
администрат,0.4
администрац,0.5
адмирал,16.6
адмиралтей,6.8
адмираль,0.9
адренал,2.8
адрес,118.1
адриат,0.5
адсорбат,0.5
адъювант,0.6
адъютант,7.5
адюльтер,1.2
ажиот,4.4
ажур,5.2
аз,4.8
азали,1.2
азарт,21.1
азбук,3.7
азбуч,0.8
азер,0.4
азербайджан,11.9
ази,16.0
азиат,3.7
азий,2.9
азимут,1.6
азов,1.6
азор,0.4
азот,9.3
аи,1.4
аир,0.6
аист,3.1
айв,0.9
айкидо,0.8
айсберг,4.2
академ,71.9
академи,70.3
акафист,1.2
акац,4.1
акваланг,2.8
аквапарк,0.9
акварель,5.4
аквариум,8.9
акватори,4.2
акведук,0.4
аккомпан,6.2
аккомпаниатор,1.0
аккорд,7.0
аккордеон,4.7
аккредит,4.5
аккредитив,3.8
аккумул,10.7
аккурат,37.6
аккуратн,21.1
акме,1.6
аконит,1.0
акр,1.0
акрил,0.9
акрилов,1.0
акробат,4.9
акрополь,0.6
акростих,0.4
аксакал,0.8
акселер,0.8
акселератор,0.8
аксель,0.8
аксельбант,0.7
аксессуар,5.5
аксиолог,0.5
аксиома,8.5
аксиомат,0.6
аксон,0.4
акт,328.9
актер,27.3
актив,218.2
актиниди,0.4
актр,41.7
актуал,4.0
актуаль,1.1
актуальн,8.0
акул,9.9
акуст,7.8
акуш,2.9
акушер,0.7
акц,118.6
акцент,31.7
акцепт,1.6
акци,36.3
акциз,7.2
акын,0.5
ал,21.0
алабер,2.0
алан,3.1
албан,4.1
алгебр,6.0
алгоритм,28.2
алебард,0.6
алебастр,0.4
александр,8.4
алексеев,1.2
алеут,0.4
алжир,1.2
алиби,2.6
алимент,6.0
алк,10.1
алкал,0.6
алкогол,16.6
алкоголь,34.2
аллантоис,0.6
аллах,8.5
аллегор,1.2
аллегори,2.3
аллей,0.8
аллерг,3.5
аллерги,7.0
аллея,16.0
аллигатор,0.5
аллилуйя,0.4
аллитерац,0.5
аллюз,1.8
аллюр,0.8
алма,0.8
алмаз,22.4
алмазонос,0.4
алоэ,1.0
алтай,5.3
алтар,10.2
алтын,0.5
алфавит,7.0
алыч,0.8
альбатрос,1.2
альбинос,0.7
альбом,25.8
альбумин,0.8
альвеол,0.9
альдегид,1.7
альков,0.4
альма,0.4
альманах,4.7
альп,11.3
альт,6.5
альтерн,35.1
альтернатив,0.8
альтру,1.9
альфа,6.8
альцгеймер,0.6
альянс,10.1
алюм,0.4
алюмин,26.6
аляп,1.0
ам,0.5
амазон,0.4
амальгам,0.5
амба,1.0
амбал,2.1
амбар,6.9
амбивалент,1.6
амбици,18.8
амбразур,2.3
амброз,0.5
амбулатор,1.4
амбулатори,1.2
амвон,1.0
амеб,0.8
америк,285.5
американ,1.6
амет,1.3
амид,0.4
амиксин,1.1
амин,13.3
аминь,0.8
аммиак,2.8
аммиач,0.8
аммон,1.5
амнез,0.8
амнист,1.0
амнисти,8.2
аморал,4.1
амораль,0.7
аморт,5.6
амортизацион,1.2
ампер,2.6
ампир,2.8
ампл,2.3
амплитуд,5.0
амплифиц,1.0
амплуа,3.7
ампул,3.7
ампут,2.6
амрита,0.5
амстердам,0.5
амулет,3.7
амуниц,1.7
амур,7.5
амфи,2.5
амфор,1.4
ана,4.0
анабол,0.6
анадыр,0.4
анаконд,0.4
анал,3.0
анализ,201.7
аналит,43.7
аналог,69.3
аналоги,14.6
анальг,1.1
анамнез,0.7
ананас,3.6
анарх,4.4
анархи,2.7
анатом,6.0
анатоми,4.9
анафем,1.5
анаш,1.1
анаэроб,0.7
ангаж,1.5
ангажемент,0.4
ангажирован,0.7
ангар,4.6
ангел,47.7
ангин,2.7
англ,8.7
англи,30.1
англий,121.7
ангол,0.7
андеграунд,2.0
андерграунд,0.4
андерсенов,0.5
андреев,1.4
анекдот,36.8
анем,0.6
анеми,1.0
анестез,1.7
анестези,1.0
анизотроп,1.7
аним,3.2
анин,1.0
анион,0.7
анис,0.5
аничков,0.4
анкет,17.5
анклав,1.2
аннал,1.5
аннекс,0.5
аннигиляц,0.5
аннот,1.9
аннул,3.4
анод,1.9
аном,0.5
аномал,1.0
аномали,6.9
аномаль,2.9
аноним,3.0
анонс,2.7
ансамблев,0.4
ансамбль,21.7
антагон,1.6
антагонист,1.6
антаркт,1.6
антенн,9.8
антиквар,10.0
антилоп,1.2
антимон,5.9
антич,19.4
антолог,2.7
антон,1.0
антонов,0.8
антракт,5.3
антрацит,0.7
антрекот,0.5
антрепренер,0.8
антреприз,1.9
антресоли,2.3
антроп,12.2
антураж,2.2
анус,0.6
анфас,0.9
анфилад,1.5
анчар,0.4
анчоус,0.6
аншлаг,2.7
анютин,0.8
аорт,2.2
апартамент,5.5
апартеид,0.8
апатит,1.5
апач,0.5
апелл,15.3
апелляцион,2.9
апельсин,11.5
апеннин,0.4
аперитив,1.0
апертур,0.6
апик,3.9
аплод,29.8
апломб,1.2
апокалипс,0.5
апокалипсис,3.1
апокалипт,1.6
апокриф,1.9
аполог,3.8
апоптоз,0.8
апостол,25.0
апофеоз,3.3
аппарат,128.2
аппендикс,1.0
аппендиц,2.1
аппетит,19.2
апплик,1.1
аппрокс,0.7
апрел,91.0
апрель,0.4
априор,4.5
апроб,4.0
апсид,0.4
аптек,24.9
ар,13.6
ара,0.4
араб,35.7
аравий,1.6
арак,0.4
арал,0.6
арамей,0.8
аранж,2.2
арап,1.0
арат,0.4
арахис,0.7
арб,1.1
арбалет,1.2
арбат,3.7
арбидол,0.6
арбитр,65.7
арбитраж,0.4
арбовирус,0.7
арбуз,10.3
аргентин,3.9
арго,2.1
аргумент,36.0
аргун,0.5
аргус,0.6
ареал,3.7
арен,13.5
аренд,52.6
ареопаг,0.5
арест,108.8
арзамас,0.7
ари,7.8
арий,1.9
аристократ,15.8
аристотелев,0.5
арифмет,10.4
арифмометр,0.9
арк,0.7
аркад,0.5
аркан,3.1
