Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane,ranking_score
37731,самолет,s,166.1,100,92,2777,"сам,лет-2",1353.9,5,3,0,2185.545207
30383,полка,s,41.9,100,94,1410,"пол-1,пал-2,пол-5",1199.9,5,3,0,2184.779378
38441,седло,s,12.8,93,88,378,сад,2104.1,5,3,0,1974.389136
44835,усы,s,29.4,100,92,935,ус,48.2,5,3,0,1969.398554
16248,коса,s,19.1,97,91,649,"каш-1,каш-3,кос-3",366.5,5,3,0,1934.667596
48594,юла,s,0.5,29,79,36,юл,1.6,5,3,0,1804.024922
29521,поднос,s,11.6,91,91,452,наш,2463.4,5,3,0,1707.128149
348,аист,s,3.1,70,86,120,аист,3.1,5,3,0,1612.4
44408,улей,s,2.7,82,88,165,ул-2,2.7,5,3,0,1610.8
20195,мята,s,2.2,70,88,135,мят-2,3.3,5,3,0,1610.777755
37265,ромб,s,1.8,62,88,110,ромб,3.1,5,3,0,1609.448809
40448,сота,s,1.2,55,86,80,сот,3.5,5,3,0,1608.197561
10034,дюна,s,2.0,61,86,109,дюн,2.0,5,3,0,1608
7465,гонг,s,1.2,43,82,67,гонг,1.2,5,3,0,1604.8
14814,кекс,s,1.1,47,83,71,кекс,1.1,5,4,0,1604.4
521,алоэ,s,1.0,35,69,44,алоэ,1.0,5,3,0,1604
10185,енот,s,0.9,38,76,52,енот,0.9,5,3,0,1603.6
42628,терка,s,1.7,58,82,88,тер-1,221.0,5,3,0,1467.840438
45953,футбол,s,27.4,96,90,1004,"фут,бол-2",2967.4,4,3,0,1455.430208
17579,лиана,s,3.5,75,85,152,лиан,3.5,5,3,0,1412.25
23499,оазис,s,3.3,85,89,206,оазис,3.3,5,4,0,1411.55
10045,дятел,s,3.1,74,79,128,дятел,3.1,5,3,0,1410.85
6739,гамак,s,2.9,62,82,104,гамак,2.9,5,4,0,1410.15
10235,жабра,s,2.9,53,58,103,жабер,2.9,5,3,0,1410.15
10504,жираф,s,2.6,70,86,125,жираф,3.1,5,3,0,1409.936549
9905,дупло,s,2.6,66,87,132,дупл,2.6,5,3,0,1409.1
15350,кокон,s,2.5,75,80,130,кокон,2.5,5,3,0,1408.75
3496,вафля,s,1.5,47,70,70,вафел,2.9,5,4,0,1407.299829
12467,зебра,s,1.9,70,87,116,зебр,1.9,5,3,0,1406.65
15351,кокос,s,1.0,46,85,53,кокос,3.0,5,3,0,1406.062178
46338,хомяк,s,1.1,45,82,56,хомяк,2.5,5,4,0,1405.804093
9776,дрель,s,1.4,45,79,63,дрель,1.4,5,3,0,1404.9
18383,манго,s,1.1,35,82,54,манго,1.1,5,3,0,1403.85
45611,финик,s,0.9,40,83,56,финик,1.3,5,3,0,1403.785829
43642,тунец,s,0.7,27,71,32,тунец,0.7,5,3,0,1402.45
1568,батут,s,0.5,30,75,37,батут,0.5,5,4,0,1401.75
12539,зефир,s,0.5,37,84,40,зефир,0.5,5,4,0,1401.75
15244,коала,s,0.4,15,63,16,коал,0.4,5,4,0,1401.4
14728,качели,s,5.1,91,90,257,кат-1,419.2,5,4,0,1338.712941
14707,катушка,s,8.4,98,88,397,кат-1,419.2,5,3,0,1148.350935
14693,катить,v,7.6,87,90,405,кат-1,419.2,4,3,0,769.331864
15199,клюшка,s,1.9,48,77,74,клюк-1,888.7,5,3,0,1323.27518
38216,свиток,s,2.6,71,83,123,ви,629.5,5,3,0,1321.368447
4638,водопад,s,7.3,95,88,356,"па-1,вод-2",2101.0,5,4,0,1309.609633
3805,вертолет,s,38.7,97,89,872,"вер-2,лет-2",1638.8,5,3,0,1303.672751
33365,прицеп,s,4.2,81,88,182,цеп,204.9,5,3,0,1288.006932
7716,грабли,s,3.7,89,92,249,граб-1,194.0,5,3,0,1280.375369
42646,термос,s,3.7,82,90,206,"терм,ос-2",60.4,5,3,0,1244.847742
9429,домино,s,3.4,77,89,184,домино,3.4,5,3,0,1210.2
14130,йогурт,s,3.2,68,86,160,йогурт,3.2,5,3,0,1209.6
45412,фасоль,s,3.0,72,83,137,фасол,3.0,5,3,0,1209
17235,ландыш,s,2.9,75,86,162,ландыш,2.9,5,4,0,1208.7
43768,тюлень,s,2.6,58,79,93,тюлен,3.0,5,3,0,1208.378544
17935,лосось,s,1.7,58,86,89,лосос,2.8,5,3,0,1206.545227
16497,кратер,s,2.1,66,87,97,кратер,2.1,5,3,0,1206.3
15071,клевер,s,1.8,63,86,107,клевер,1.8,5,4,0,1205.4
1505,барсук,s,1.4,35,74,55,барсук,1.9,5,3,0,1204.892852
30856,пончик,s,1.5,40,64,50,пончик,1.5,5,4,0,1204.5
2936,брелок,s,1.4,57,86,90,брелок,1.4,5,3,0,1204.2
38532,сельдь,s,1.4,60,88,97,селёд,1.4,5,3,0,1204.2
6949,гепард,s,1.2,25,59,31,гепард,1.2,5,3,0,1203.6
926,арахис,s,0.7,28,73,37,арахис,0.7,5,3,0,1202.1
39017,скалка,s,0.7,42,86,54,скал-2,0.7,5,3,0,1202.1
17740,лить,v,10.4,97,93,568,ле(j),620.5,4,3,0,1121.327248
168,автомобиль,s,156.9,100,92,3453,"авто,мобиль",712.9,5,3,0,1101.668738
34941,пылесос,s,6.0,83,80,224,"пыл-2,сас",171.3,5,3,0,1080.1483
37724,самокат,s,1.0,32,76,47,"сам,кат-1",965.6,5,3,0,1077.685262
39253,скрепка,s,2.3,63,81,105,креп,366.7,5,3,0,1072.603805
7726,град,s,12.4,97,89,599,"гораж,град-2",1490.6,5,2,0,1071.907631
23405,носорог,s,2.1,70,89,116,"нос-1,рог",253.8,5,3,0,1057.715899
16055,копилка,s,2.2,74,87,151,кап-3,118.8,5,4,0,1040.416581
2297,бинокль,s,10.6,91,88,343,"бин,окль",21.9,5,3,0,1038.090353
14144,кабачок,s,4.2,84,85,171,"кабак,кабач-2",15.2,5,3,0,1019.974984
26917,палитра,s,3.5,81,91,265,палитр,3.5,5,3,0,1008.75
1616,бегемот,s,3.0,74,87,159,бегемот,3.0,5,3,0,1007.5
25454,орхидея,s,2.4,73,88,130,орхиде,2.4,5,4,0,1006
14827,кенгуру,s,2.1,62,85,98,кенгуру,2.1,5,3,0,1005.25
26987,пантера,s,2.1,60,70,102,пантер,2.1,5,3,0,1005.25
