Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane,ranking_score
10482,жизнь,s,1389.8,100,96,14894,жи,3660.6,5,4,0,9294.421957
12872,идти,v,957.1,100,96,13815,и-1,5267.6,3,3,0,8981.420787
41425,стоять,v,419.3,100,93,5109,ста(j),12093.6,4,3,0,7355.562028
37378,рука,s,1200.6,100,94,10370,рук,1646.1,5,3,0,7223.248399
17781,лицо,s,878.0,100,91,10267,лик-1,2244.7,5,3,0,7215.473765
9414,дом,s,792.6,100,96,10527,дом,1296.3,5,4,0,6361.338558
8578,день,s,1258.4,100,97,17383,ден,1412.2,4,3,0,6132.335293
9823,друг,s,874.2,100,97,9689,друг,1701.3,4,5,0,5678.157783
4179,видеть,v,818.2,100,96,9914,вид,3210.8,4,3,0,5462.477665
39509,слово,s,967.9,100,96,14564,слав-1,1882.4,4,3,0,5424.319344
7168,глаз,s,857.6,100,93,7664,глаз,931.3,5,3,0,5174.762381
35048,работа,s,1058.3,100,95,18222,раб,2784.6,3,3,0,5149.998021
7380,голова,s,709.4,100,93,6937,глав,1902.6,5,3,0,4685.303424
7571,город,s,573.4,100,96,10646,гораж,1478.2,5,3,0,4622.281572
7349,год,s,3727.5,100,94,29477,год,4245.5,1,3,0,4475.33728
10782,завод,s,164.0,100,93,3940,важ-2,4275.9,5,3,0,4330.918474
10360,жена,s,376.8,100,94,4361,жен,1144.4,5,4,0,4226.663039
17390,лежать,v,318.1,100,94,5232,лаг,4386.6,4,3,0,4143.782886
2753,большой,a,944.4,100,97,17589,бол-2,2905.7,3,3,0,4141.363815
21041,народ,s,385.6,100,95,6870,род,2504.3,4,4,0,4139.376612
19330,мир,s,714.7,100,95,12334,мир-1,1147.6,3,4,0,4075.394684
41446,страна,s,725.7,100,93,14384,сторон,2506.9,3,4,0,4046.395429
41345,стол,s,402.5,100,94,4738,сл-2,835.4,5,3,0,3919.477527
38801,сидеть,v,538.1,100,94,5916,сад,2104.1,4,3,0,3792.169464
28451,писать,v,444.3,100,96,6914,пис,2500.2,4,3,0,3761.890216
12619,знак,s,108.0,100,95,3241,зна(j),4761.2,4,3,0,3668.336382
23324,нога,s,459.2,100,93,5061,ног,557.5,5,3,0,3623.873514
38813,сила,s,645.8,100,97,12231,сил-1,1203.0,3,4,0,3525.67134
46831,час,s,468.1,100,98,8561,час,649.5,4,3,0,3381.255073
37591,сад,s,135.8,100,90,2783,сад,2104.1,4,3,0,3305.445862
4604,вода,s,484.8,100,96,6606,вод-2,791.4,4,3,0,3277.646367
7411,голос,s,424.5,100,93,5099,глас,1237.7,4,3,0,3236.965651
30433,полный,a,390.6,100,98,10687,полн,1836.4,4,3,0,3140.803133
8223,дверь,s,450.8,100,92,4289,двер,502.9,5,3,0,3066.482724
15214,книга,s,413.9,100,96,5659,книг,539.9,5,4,0,3054.521524
24845,окно,s,280.8,100,93,3883,ок,462.5,5,3,0,3041.49922
38118,свет,s,359.7,100,95,6490,свес,854.5,4,4,0,3017.615476
43127,точка,s,232.2,100,94,7224,тк,917.9,5,3,0,3015.834353
19975,муж,s,263.0,100,88,3319,муж,832.5,4,3,0,3005.632179
48689,язык,s,324.9,100,96,6036,язык,370.1,5,3,0,2987.057259
16741,круг,s,157.4,100,97,5010,круг,751.1,5,3,0,2975.343681
45141,утро,s,301.3,100,95,4993,утр-1,358.4,5,3,0,2914.448447
1955,белый,a,339.6,100,95,5693,бел,509.6,5,4,0,2856.0175
29918,поезд,s,93.3,100,94,1973,езд,1769.4,5,3,0,2822.072957
42485,тело,s,285.9,100,92,4943,тел-1,317.0,5,3,0,2804.194669
10227,ехать,v,198.2,100,95,3686,езд,1769.4,4,3,0,2772.682979
16824,крыша,s,85.0,100,95,2423,кров-2,1788.0,5,3,0,2764.461432
39416,след,s,86.9,100,95,2459,след,2659.2,4,3,0,2722.849885
44419,улица,s,337.8,100,96,6496,ул-1,413.1,5,3,0,2707.451129
45183,ухо,s,139.3,100,92,2644,ух-1,286.2,5,3,0,2698.509942
23429,ночь,s,402.8,100,95,5349,ноч-2,555.0,4,3,0,2691.259898
30232,пол,s,181.9,100,94,3533,пол-5,851.3,4,3,0,2670.802718
47180,читать,v,304.4,100,96,5215,ч-3,2571.1,3,3,0,2654.013105
15193,ключ,s,78.0,100,95,2168,клюк-1,888.7,5,3,0,2653.137028
24584,одеяло,s,38.8,98,91,1086,де(j),5985.7,5,4,0,2645.754626
33122,природа,s,169.9,100,93,4373,род,2504.3,5,5,0,2630.721792
42381,театр,s,305.3,100,89,3128,театр,396.3,5,4,0,2617.428551
9553,дорога,s,330.1,100,96,6034,дорог-2,657.2,5,3,0,2597.310087
18082,любовь,s,323.9,100,91,5147,люб,1326.0,4,5,0,2566.067801
2896,брат,s,203.0,100,95,3497,брат,283.2,5,5,0,2559.079559
23391,нос,s,138.8,100,92,2546,нос-1,201.9,5,3,0,2553.312903
30256,поле,s,180.2,100,95,4716,пол-2,285.1,5,4,0,2506.642333
6338,высокий,a,483.3,100,96,12042,выс,1322.7,4,3,0,2498.844838
19797,море,s,159.5,100,95,3188,мор-2,314.6,5,4,0,2496.024107
46809,чай,s,106.8,100,93,2178,ча(j)-2,219.3,5,4,0,2488.679976
37514,рынок,s,283.3,100,92,6951,рынок,329.4,5,3,0,2469.185669
29157,подарок,s,75.4,100,96,2543,да-1,4479.3,5,5,0,2452.883383
21512,небо,s,187.6,100,94,3396,неб,238.8,5,5,0,2446.629836
41212,стена,s,261.0,100,94,4312,стен-2,334.6,5,3,0,2434.311293
15761,конец,s,634.7,100,98,11758,кан,3021.6,3,2,0,2423.487498
37310,рот,s,133.6,99,92,2340,рот-1,137.2,5,3,0,2409.246157
28487,пить,v,200.9,100,93,3381,па-2,773.5,4,3,0,2376.812735
36229,рассказ,s,131.3,100,96,2989,каж-1,6686.7,3,3,0,2342.492943
7336,говорить,v,1755.0,100,96,17120,говар,3110.9,2,3,0,2336.585008
7682,гость,s,192.7,100,95,4202,гащ,364.1,5,3,0,2327.084331
9114,дно,s,71.8,100,94,2035,дн-2,166.1,5,3,0,2291.427609
16485,красный,a,240.5,100,96,4981,крас-1,1104.1,5,3,0,2288.254755
7488,гора,s,115.5,100,95,2847,гор-1,251.6,5,4,0,2281.877408
42099,сын,s,285.1,100,94,4408,сын,327.1,4,4,0,2274.204589
28706,плечо,s,236.4,100,92,3181,плёк,261.3,5,3,0,2269.884285
26791,очки,s,56.0,99,93,1546,ок,462.5,5,3,0,2243.739078
9941,духи,s,22.3,99,94,787,дух,1156.0,5,4,0,2242.231111
23329,нож,s,66.6,100,94,1610,нз,138.1,5,3,0,2231.56525
36808,река,s,131.0,100,94,2698,рек-1,182.2,5,4,0,2217.973462
47554,шея,s,85.3,100,92,1879,ше(j)-1,101.1,5,3,0,2217.890605
1652,бежать,v,143.6,100,93,2758,бег,800.3,5,3,0,2217.009203
39816,снег,s,125.2,100,93,2190,снег,189.1,5,4,0,2215.471462
8020,губа,s,143.0,100,90,1931,губ-2,158.5,5,3,0,2202.202624
17803,лоб,s,78.7,99,91,1697,лб,99.9,5,3,0,2199.008938
26914,палец,s,219.1,100,92,3040,пал-3,233.5,5,3,0,2191.649015
37731,самолет,s,166.1,100,92,2777,"сам,лет-2",1353.9,5,3,0,2185.545207
30383,полка,s,41.9,100,94,1410,"пол-1,пал-2,пол-5",1199.9,5,3,0,2184.779378
18346,мальчик,s,188.0,100,92,2783,мал-1,1158.6,5,4,0,2166.771186
12506,земля,s,494.4,100,96,7260,зем,768.9,3,3,0,2157.954114
28301,печь,s,32.6,100,93,952,пек,593.9,5,3,0,2156.577254
42022,сцена,s,177.2,100,92,2926,сцен,263.5,5,3,0,2156.29323
12544,зима,s,106.0,100,96,3250,зим,170.0,5,3,0,2136.954374
17308,лев,s,64.3,100,93,1660,лев-1,73.2,5,4,0,2108.726238
18006,луч,s,45.4,100,94,1486,луч-1,92.2,5,4,0,2091.142697
40696,спина,s,183.1,100,92,2826,спин,211.2,5,3,0,2088.270528
48505,этаж,s,102.7,100,95,2397,этаж,143.8,5,3,0,2086.09892
1978,берег,s,164.7,100,94,2868,берег-2,230.6,5,4,0,2082.094418
46186,хлеб,s,107.4,100,94,2352,хлеб-1,127.9,5,4,0,2068.81058
47379,шар,s,43.7,100,93,1371,шар-1,75.1,5,3,0,2057.794235
5028,вопрос,s,805.8,100,95,15789,праш,2326.7,2,3,0,2053.880093
4778,воздух,s,192.2,100,96,4322,дух,1156.0,4,3,0,2014.089389
40125,сок,s,35.8,100,90,1224,сач-1,63.0,5,4,0,2013.709733
46672,цепь,s,51.5,100,89,1530,цеп,204.9,5,3,0,2010.898528
17888,лом,s,8.8,95,88,366,лам,248.8,5,3,0,2010.561535
29072,погода,s,51.7,100,96,2085,год,4245.5,4,3,0,2005.50032
11252,закон,s,433.4,100,90,8195,кан,3021.6,2,3,0,2002.631247
24501,огонь,s,139.8,100,95,3062,огн,209.3,5,4,0,1998.695845
18834,мел,s,8.1,92,87,385,мал-4,224.9,5,3,0,1992.065672
47652,школа,s,316.0,100,95,6058,школ,430.0,4,3,0,1990.166656
42113,сыр,s,19.5,99,92,792,сыр,80.2,5,4,0,1977.95779
17542,лететь,v,82.9,99,94,2146,лет-2,807.5,5,4,0,1976.193114
38163,свеча,s,31.6,100,93,1068,свес,854.5,5,3,0,1975.132115
38441,седло,s,12.8,93,88,378,сад,2104.1,5,3,0,1974.389136
47327,шаг,s,203.8,100,96,4988,шаг,277.3,4,3,0,1969.767842
44835,усы,s,29.4,100,92,935,ус,48.2,5,3,0,1969.398554
19104,мех,s,13.1,97,93,572,мех-1,96.5,5,3,0,1959.996992
20189,мясо,s,71.4,100,95,1848,мяс-1,112.7,5,3,0,1958.815384
3880,ветер,s,140.3,100,93,2716,ветер,181.0,5,3,0,1957.745619
4937,волос,s,141.8,100,92,2310,влас,178.9,5,3,0,1957.456945
37139,рог,s,23.2,100,87,791,рог,51.9,5,3,0,1956.149352
41644,стул,s,87.6,100,92,1809,стул,90.4,5,4,0,1955.955952
6656,газета,s,237.5,100,94,5350,газет,266.2,5,3,0,1954.322544
16448,краска,s,57.1,100,95,1907,крас-1,1104.1,5,3,0,1953.257585
19121,меч,s,33.3,99,83,733,меч-2,33.7,5,3,0,1950.747313
39533,слой,s,77.6,100,90,2571,сла,95.7,5,4,0,1944.704395
9859,дуб,s,17.8,98,89,668,дуб,51.6,5,3,0,1936.378957
19862,мост,s,65.4,100,95,1731,мащ-2,107.4,5,3,0,1935.236275
20207,мяч,s,26.4,98,88,754,мяч,34.0,5,3,0,1934.81988
16248,коса,s,19.1,97,91,649,"каш-1,каш-3,кос-3",366.5,5,3,0,1934.667596
34898,пух,s,10.4,98,93,561,пух,81.9,5,3,0,1931.332174
10122,еж,s,7.5,94,86,308,еж,113.2,5,3,0,1931.119221
7955,грудь,s,138.8,100,91,2307,груд-1,165.5,5,3,0,1930.471158
41852,суп,s,27.2,99,89,873,суп-1,29.0,5,4,0,1926.385126
28268,петь,v,143.2,100,94,2802,пе,547.2,4,4,0,1919.70739
45813,фото,s,32.2,100,90,1341,фото,195.3,5,3,0,1917.204287
48796,ящик,s,75.4,100,94,1810,ящик,78.8,5,3,0,1908.325023
39594,слышать,v,256.1,100,94,4462,слух,1214.8,4,3,0,1894.431515
11615,запад,s,88.9,100,93,2911,па-1,1309.6,4,3,0,1894.230773
17084,куст,s,60.9,99,92,1396,куст,88.5,5,3,0,1893.656943
40206,соль,s,39.4,100,90,1327,сал-2,135.2,5,3,0,1891.941912
41778,судья,s,85.2,100,83,1677,суд-1,1358.8,4,3,0,1890.873444
37199,роза,s,42.7,100,94,1160,роз-1,116.4,5,5,0,1882.000851
9953,душ,s,16.1,97,93,671,душ-2,19.5,5,3,0,1879.733854
20164,мышь,s,37.0,98,86,1009,мыш,130.2,5,3,0,1877.62997
43516,труба,s,82.1,100,95,2194,труб,225.8,5,3,0,1876.542448
40608,спать,v,221.9,100,92,3167,с,509.2,4,4,0,1876.497187
16348,кофе,s,61.6,99,92,1321,кофе(j),77.1,5,4,0,1875.662402
42183,таз,s,13.4,98,87,483,таз,18.8,5,3,0,1871.423946
