Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane,final_ranking_score
10482,жизнь,s,1389.8,100,96,14894,жи,3660.6,5,4,0,2655.54913
41425,стоять,v,419.3,100,93,5109,ста(j),12093.6,4,3,0,2451.854009
12872,идти,v,957.1,100,96,13815,и-1,5267.6,3,3,0,2245.355197
4179,видеть,v,818.2,100,96,9914,вид,3210.8,4,3,0,1820.825888
37378,рука,s,1200.6,100,94,10370,рук,1646.1,5,3,0,1805.8121
17781,лицо,s,878.0,100,91,10267,лик-1,2244.7,5,3,0,1803.868441
35048,работа,s,1058.3,100,95,18222,раб,2784.6,3,3,0,1716.666007
2753,большой,a,944.4,100,97,17589,бол-2,2905.7,3,3,0,1656.545526
7380,голова,s,709.4,100,93,6937,глав,1902.6,5,3,0,1561.767808
39509,слово,s,967.9,100,96,14564,слав-1,1882.4,4,3,0,1549.805527
8578,день,s,1258.4,100,97,17383,ден,1412.2,4,3,0,1533.083823
9823,друг,s,874.2,100,97,9689,друг,1701.3,4,5,0,1419.539446
9414,дом,s,792.6,100,96,10527,дом,1296.3,5,4,0,1413.630791
17390,лежать,v,318.1,100,94,5232,лаг,4386.6,4,3,0,1381.260962
41446,страна,s,725.7,100,93,14384,сторон,2506.9,3,4,0,1348.798476
7571,город,s,573.4,100,96,10646,гораж,1478.2,5,3,0,1320.651878
7168,глаз,s,857.6,100,93,7664,глаз,931.3,5,3,0,1293.690595
38801,сидеть,v,538.1,100,94,5916,сад,2104.1,4,3,0,1264.056488
28451,писать,v,444.3,100,96,6914,пис,2500.2,4,3,0,1253.963405
10782,завод,s,164.0,100,93,3940,важ-2,4275.9,5,3,0,1237.405278
21041,народ,s,385.6,100,95,6870,род,2504.3,4,4,0,1182.679032
7336,говорить,v,1755.0,100,96,17120,говар,3110.9,2,3,0,1168.292504
10360,жена,s,376.8,100,94,4361,жен,1144.4,5,4,0,1056.66576
33122,природа,s,169.9,100,93,4373,род,2504.3,5,5,0,1052.288717
30433,полный,a,390.6,100,98,10687,полн,1836.4,4,3,0,1046.934378
6338,высокий,a,483.3,100,96,12042,выс,1322.7,4,3,0,999.537935
7349,год,s,3727.5,100,94,29477,год,4245.5,1,3,0,994.519396
29157,подарок,s,75.4,100,96,2543,да-1,4479.3,5,5,0,981.153353
41345,стол,s,402.5,100,94,4738,сл-2,835.4,5,3,0,979.869382
36229,рассказ,s,131.3,100,96,2989,каж-1,6686.7,3,3,0,936.997177
7411,голос,s,424.5,100,93,5099,глас,1237.7,4,3,0,924.847329
12619,знак,s,108.0,100,95,3241,зна(j),4761.2,4,3,0,917.084095
16485,красный,a,240.5,100,96,4981,крас-1,1104.1,5,3,0,915.301902
23324,нога,s,459.2,100,93,5061,ног,557.5,5,3,0,905.968378
19330,мир,s,714.7,100,95,12334,мир-1,1147.6,3,4,0,905.643263
47180,читать,v,304.4,100,96,5215,ч-3,2571.1,3,3,0,884.671035
24584,одеяло,s,38.8,98,91,1086,де(j),5985.7,5,4,0,881.918209
38813,сила,s,645.8,100,97,12231,сил-1,1203.0,3,4,0,881.417835
8223,дверь,s,450.8,100,92,4289,двер,502.9,5,3,0,876.137921
37731,самолет,s,166.1,100,92,2777,"сам,лет-2",1353.9,5,3,0,874.218083
15214,книга,s,413.9,100,96,5659,книг,539.9,5,4,0,872.720435
18346,мальчик,s,188.0,100,92,2783,мал-1,1158.6,5,4,0,866.708474
9553,дорога,s,330.1,100,96,6034,дорог-2,657.2,5,3,0,865.770029
43127,точка,s,232.2,100,94,7224,тк,917.9,5,3,0,861.666958
18082,любовь,s,323.9,100,91,5147,люб,1326.0,4,5,0,855.355934
4604,вода,s,484.8,100,96,6606,вод-2,791.4,4,3,0,819.411592
1955,белый,a,339.6,100,95,5693,бел,509.6,5,4,0,816.005
29918,поезд,s,93.3,100,94,1973,езд,1769.4,5,3,0,806.306559
