Number,word
10482,жизнь
41425,стоять
12872,идти
4179,видеть
37378,рука
17781,лицо
35048,работа
2753,большой
7380,голова
39509,слово
8578,день
9823,друг
9414,дом
17390,лежать
41446,страна
7571,город
7168,глаз
38801,сидеть
28451,писать
10782,завод
21041,народ
7336,говорить
10360,жена
33122,природа
30433,полный
6338,высокий
7349,год
29157,подарок
41345,стол
36229,рассказ
7411,голос
12619,знак
16485,красный
23324,нога
19330,мир
47180,читать
24584,одеяло
38813,сила
8223,дверь
37731,самолет
15214,книга
18346,мальчик
9553,дорога
43127,точка
18082,любовь
4604,вода
1955,белый
29918,поезд
10227,ехать
16824,крыша
23910,обнимать
44419,улица
24845,окно
39594,слышать
38118,свет
46831,час
42381,театр
48689,язык
16741,круг
1652,бежать
37591,сад
168,автомобиль
45141,утро
8364,девочка
37514,рынок
14780,квартира
42485,тело
41212,стена
15761,конец
5028,вопрос
39416,след
23429,ночь
4778,воздух
29072,погода
19975,муж
12527,зеркало
7682,гость
15193,ключ
17542,лететь
3805,вертолет
6656,газета
16448,краска
28706,плечо
45239,учитель
2896,брат
7620,горячий
13569,институт
30812,понедельник
30256,поле
26914,палец
30383,полка
19797,море
10560,журнал
12506,земля
33802,прозрачный
42022,сцена
21512,небо
8138,далекий
40184,солнце
21727,неделя
28767,площадь
45183,ухо
40696,спина
1978,берег
42469,телефон
28487,пить
30232,пол
3180,бумага
31222,поселок
14315,камень
11252,закон
1283,бабушка
24501,огонь
7488,гора
29521,поднос
47652,школа
23391,нос
37340,рубашка
38163,свеча
38441,седло
17529,лестница
26791,очки
9941,духи
3880,ветер
4937,волос
36808,река
39816,снег
46809,чай
39883,собака
18156,магазин
7955,грудь
8020,губа
14151,кабинет
15386,колено
12390,звезда
8619,деревня
11615,запад
41778,судья
28301,печь
43516,труба
40608,спать
4651,водоросль
37310,рот
38725,сестра
12544,зима
17107,кухня
26661,офицер
28079,переулок
41186,стекло
35894,рамка
38585,семья
15099,клетка
4638,водопад
17082,кусок
48505,этаж
16086,корабль
43141,трава
23326,ноготь
20174,мягкий
46186,хлеб
15395,колесо
16115,коридор
12682,золото
28312,пещера
9114,дно
42948,толстый
3851,весна
15505,кольцо
28293,печень
29844,подушка
25721,остров
42099,сын
28624,платье
16575,крест
46672,цепь
17175,ладонь
4227,вилка
17161,лагерь
10649,забота
28816,победа
9401,долина
11500,замок
23329,нож
46315,холодильник
25521,осень
17957,лошадь
16812,крыло
23092,нефть
47554,шея
19125,мечта
16104,корень
9270,дождь
19607,мокрый
20189,мясо
41644,стул
17803,лоб
39533,слой
36965,ресторан
45953,футбол
42418,телевизор
16312,костюм
19862,мост
16248,коса
38156,светофор
5189,восток
18546,масло
48779,ясный
20444,надежда
28268,петь
35874,ракета
15691,компьютер
2285,билет
45813,фото
41018,стакан
1278,бабочка
4334,вихрь
16383,кошка
48796,ящик
19140,мешок
17345,легкий
17084,куст
40206,соль
34635,прыгать
10325,железо
26883,пакет
37199,роза
23754,облако
20164,мышь
16348,кофе
17308,лев
37883,сапог
28223,песок
31116,порт
17547,лето
18006,луч
41833,сумка
5790,вывеска
48644,яблоко
8847,диван
20129,мыло
19814,мороженое
44273,узел
7543,горло
31551,потолок
14438,капля
14707,катушка
30482,полотенце
31926,правый
16148,коробка
41400,сторож
24758,озеро
47379,шар
15511,коляска
17995,луна
24817,океан
26898,палатка
40364,сосед
41164,ствол
2802,борода
2253,библиотека
45229,ученый
47643,шкаф
37417,руль
16152,корова
26708,охота
26936,пальто
16299,костер
4544,внук
18884,мельница
5578,вспышка
48704,яйцо
19072,метла
14484,карандаш
40125,сок
17037,курица
3453,варенье
46915,чемодан
17888,лом
47374,шапка
41736,сугроб
14728,качели
43823,тянуть
47620,шить
12196,затылок
17885,локоть
46868,чашка
25849,отвертка
17866,ложка
17223,лампа
1443,баня
7853,гриб
17060,куртка
19199,микрофон
28711,плита
42310,тарелка
18834,мел
46735,цирк
18527,маска
28159,перо
15199,клюшка
2842,ботинок
16080,кора
7432,голубь
38216,свиток
41346,столб
17653,линейка
42113,сыр
45997,халат
17446,лента
16048,копать
39013,скала
45733,фонарь
47688,шляпа
47808,штаны
2022,беседка
28342,пиджак
47327,шаг
44835,усы
47738,шоссе
40394,сосна
47956,щель
16329,котел
14975,кирпич
3744,веревка
19104,мех
12532,зерно
46308,холм
16077,копыто
15265,ковер
41232,степь
3435,ванна
37139,рог
17744,лифт
3631,ведро
34622,пружина
23244,нить
1541,бассейн
28744,плот
10172,елка
19121,меч
18734,медведь
15230,кнопка
45654,флаг
25979,отель
15364,колбаса
18729,медаль
1137,асфальт
34941,пылесос
32994,принц
43195,трамвай
14620,касса
25776,осьминог
36878,ремень
37724,самокат
8250,двор
21565,невеста
42215,такси
16904,кукла
28580,пластик
9859,дуб
28642,плащ
1371,балкон
19636,молния
20207,мяч
14737,каша
42725,тетрадь
33365,прицеп
6825,гвоздь
34898,пух
10122,еж
39253,скрепка
1989,береза
15004,кисть
1419,банк
48570,юбка
43488,тропа
2850,бочка
12384,заяц
41852,суп
16532,крем
14593,картофель
9802,дрова
32397,пресс
48709,якорь
43026,топор
43190,трактор
31114,порошок
7223,глубокий
42460,телескоп
39540,слон
28791,пляж
7716,грабли
7194,глина
47436,шахта
2685,бокал
1646,бедро
17911,лопата
28204,перчатка
3693,велосипед
34658,прямой
24441,овца
43706,туфля
33459,пробирка
15085,клей
18021,лыжа
40728,спичка
15438,колодец
29744,подсолнух
28428,пирог
37464,ручей
15175,клубника
47044,чеснок
47868,шуба
16421,кран
15441,колокол
43505,тротуар
25397,орел
37095,рисунок
36602,ребро
23405,носорог
13825,искра
42419,телега
14604,карьер
37532,рыцарь
3134,букет
15959,конфета
34774,пуговица
42159,таблетка
16642,кристалл
24550,огурец
28538,плакат
19898,мотоцикл
3652,веко
45743,фонтан
23611,обезьяна
