Number,word,transliteration,abbreviation
20,абрикос,abrikos,abr
69,август,avgust,avg
122,автобус,avtobus,avs
168,автомобиль,avtomobil,avt
309,адрес,adres,adr
348,аист,aist,ast
351,айсберг,aysberg,ays
360,акваланг,akvalang,akn
365,аквариум,akvarium,akv
400,акробат,akrobat,akr
418,актёр,aktyor,akt
446,акула,akula,akl
517,алмаз,almaz,alm
521,алоэ,aloe,alo
526,алфавит,alfavit,alf
567,алюминий,alyuminiy,aln
574,амбар,ambar,amb
658,ананас,ananas,ann
675,ангар,angar,ang
742,антенна,antenna,ant
776,антилопа,antilopa,anl
859,апельсин,apelsin,apl
898,апрель,aprel,apr
907,аптека,apteka,apt
926,арахис,arahis,arh
937,арбуз,arbuz,arb
982,арка,arka,ark
998,армия,armiya,arm
1137,асфальт,asfalt,asf
1155,атлет,atlet,atl
1161,атом,atom,atm
1258,аэропорт,aeroport,arp
1278,бабочка,babochka,bbc
1283,бабушка,babushka,bbs
1332,баклажан,baklazhan,bkz
1354,баланс,balans,bla
1371,балкон,balkon,bal
1379,баллон,ballon,bll
1396,бамбук,bambuk,bmb
1403,банан,banan,bnn
1419,банк,bank,bnk
1439,бант,bant,bnt
1443,баня,banya,bny
1448,барабан,baraban,brb
1505,барсук,barsuk,brk
1510,бархат,barhat,brh
1529,баскетбол,basketbol,bsk
1541,бассейн,basseyn,bss
1554,батарея,batareya,btr
1568,батут,batut,btt
1601,башня,bashnya,bsh
1605,баян,bayan,ban
1616,бегемот,begemot,bgm
1646,бедро,bedro,bdr
1652,бежать,bezhat,bzh
1653,бежевый,bezhevyy,bzv
1923,белка,belka,bel
1955,белый,belyy,bly
1970,бензин,benzin,bnz
1978,берег,bereg,brg
1989,берёза,beryoza,brz
2022,беседка,besedka,bsd
2235,бетон,beton,btn
2253,библиотека,biblioteka,bbl
2285,билет,bilet,ble
2291,бильярд,bilyard,blr
2297,бинокль,binokl,bnl
2299,бинт,bint,bin
2347,бисер,biser,bsr
2494,блеск,blesk,bls
2511,близкий,blizkiy,blz
2522,блик,blik,blk
2524,блин,blin,bln
2541,блокнот,bloknot,blo
2547,блондин,blondin,bnd
2565,блюдце,blyudtse,bld
2575,боб,bob,bob
2577,бобёр,bobyor,bbr
2685,бокал,bokal,bkl
2688,бокс,boks,bks
2719,болото,boloto,bol
2721,болт,bolt,blt
2733,больница,bolnitsa,bli
2753,большой,bolshoy,bso
2782,бордюр,bordyur,brr
2802,борода,boroda,brd
2842,ботинок,botinok,btk
2850,бочка,bochka,bch
2893,браслет,braslet,brs
2896,брат,brat,brt
2919,бревно,brevno,bre
2936,брелок,brelok,brl
2977,брить,brit,bri
2984,бровь,brov,brv
3009,бронза,bronza,bro
3019,броня,bronya,brn
3061,брюнет,bryunet,bru
3089,бугор,bugor,bgr
3103,будка,budka,bdk
3128,буква,bukva,bkv
3134,букет,buket,bkt
3152,булавка,bulavka,blv
3159,булочка,bulochka,blc
3180,бумага,bumaga,bmg
3185,бумеранг,bumerang,bmr
3190,бункер,bunker,bnr
3240,бусы,busy,bsy
3245,бутерброд,buterbrod,btb
3250,бутон,buton,but
3252,бутылка,butylka,btl
3274,бухта,buhta,bht
3308,быстрый,bystryy,bst
3355,вагон,vagon,vgn
3367,ваза,vaza,vza
3381,вакцина,vaktsina,vkt
3435,ванна,vanna,vnn
3453,варенье,varenye,vre
3482,вата,vata,vta
3496,вафля,vaflya,vfl
3631,ведро,vedro,vdr
3637,веер,veer,ver
3652,веко,veko,vko
3693,велосипед,velosiped,vlp
3716,венок,venok,vno
3721,вентилятор,ventilyator,vnt
3733,вера,vera,vra
3737,верблюд,verblyud,vrd
3744,верёвка,veryovka,vrv
3805,вертолёт,vertolyot,vrl
3850,весло,veslo,vsl
3851,весна,vesna,vsn
3872,весы,vesy,vsy
3880,ветер,veter,vtr
3887,ветка,vetka,vtk
3910,вечер,vecher,vch
3923,вешалка,veshalka,vsh
4179,видеть,videt,vdt
4227,вилка,vilka,vla
4253,виноград,vinograd,vng
4306,висок,visok,vso
4313,витамин,vitamin,vtm
4324,витрина,vitrina,vtn
4334,вихрь,vihr,vhr
4346,вишня,vishnya,vsa
4426,власть,vlast,vlt
4544,внук,vnuk,vnk
4604,вода,voda,vda
4629,водолаз,vodolaz,vdl
4638,водопад,vodopad,vdp
4651,водоросль,vodorosl,vds
4778,воздух,vozduh,vzd
4892,вокзал,vokzal,vkz
4903,волейбол,voleybol,vly
4909,волк,volk,vlk
4911,волна,volna,vln
4937,волос,volos,vls
5028,вопрос,vopros,vpr
5043,воробей,vorobey,vrb
5060,ворона,vorona,vrn
5065,воронка,voronka,vrk
5071,ворота,vorota,vrt
5096,воск,vosk,vsk
5105,воскресенье,voskresenye,vsr
5189,восток,vostok,vst
5375,врач,vrach,vrc
5578,вспышка,vspyshka,vsp
5668,вторник,vtornik,vto
5699,вулкан,vulkan,vul
5790,вывеска,vyveska,vvs
6338,высокий,vysokiy,vsi
6653,газ,gaz,gaz
6656,газета,gazeta,gzt
6674,газон,gazon,gzn
6694,гайка,gayka,gyk
6699,галактика,galaktika,glk
6728,галоша,galosha,glh
6730,галстук,galstuk,gtk
6739,гамак,gamak,gmk
6751,гантель,gantel,gnt
6752,гараж,garazh,gzh
6825,гвоздь,gvozd,gvz
6844,гель,gel,gel
6854,ген,gen,gen
6863,генерал,general,gnr
6889,гений,geniy,gny
6949,гепард,gepard,gpr
6956,герб,gerb,grb
7025,гигант,gigant,ggn
7074,гимн,gimn,gmn
7116,гипс,gips,gps
7118,гирлянда,girlyanda,gnd
7121,гиря,girya,gry
7127,гитара,gitara,gtr
7161,гладкий,gladkiy,gld
7168,глаз,glaz,glz
7194,глина,glina,gln
7210,глобус,globus,glo
7217,глоток,glotok,glt
7223,глубокий,glubokiy,glu
7262,глыба,glyba,gly
7286,гнездо,gnezdo,gnz
7307,гном,gnom,gnm
7336,говорить,govorit,gvr
7349,год,god,god
7369,голень,golen,gle
7380,голова,golova,glv
7411,голос,golos,gls
7432,голубь,golub,glb
7439,гольф,golf,glf
7465,гонг,gong,gng
7478,гончар,gonchar,gnc
7488,гора,gora,gra
7530,горизонт,gorizont,giz
7543,горло,gorlo,grl
7571,город,gorod,gro
7585,горох,goroh,grh
7595,горсть,gorst,grt
7606,горшок,gorshok,gsk
7608,горький,gorkiy,grk
7620,горячий,goryachiy,gcy
7682,гость,gost,gst
7716,грабли,grabli,gbl
7763,гранат,granat,grn
7775,гранит,granit,gni
7831,грести,gresti,gre
7845,гречка,grechka,grc
7853,гриб,grib,gri
7861,грива,griva,grv
7894,гроздь,grozd,gzd
7907,громкий,gromkiy,grm
7955,грудь,grud,grd
7957,груз,gruz,grz
7995,грусть,grust,grs
7996,груша,grusha,gsa
8006,грядка,gryadka,gdk
8020,губа,guba,gba
