Number,word,transliteration,abbreviation
20,абрикос,abrikos,
69,август,avgust,
122,автобус,avtobus,
168,автомобиль,avtomobil,
309,адрес,adres,
348,аист,aist,
351,айсберг,aysberg,
360,акваланг,akvalang,
365,аквариум,akvarium,
400,акробат,akrobat,
418,актёр,aktyor,
446,акула,akula,
517,алмаз,almaz,
521,алоэ,aloe,
526,алфавит,alfavit,
567,алюминий,alyuminiy,
574,амбар,ambar,
658,ананас,ananas,
675,ангар,angar,
742,антенна,antenna,
776,антилопа,antilopa,
859,апельсин,apelsin,
898,апрель,aprel,
907,аптека,apteka,
926,арахис,arahis,
937,арбуз,arbuz,
982,арка,arka,
998,армия,armiya,
1137,асфальт,asfalt,
1155,атлет,atlet,
1161,атом,atom,
1258,аэропорт,aeroport,
1278,бабочка,babochka,
1283,бабушка,babushka,
1332,баклажан,baklazhan,
1354,баланс,balans,
1371,балкон,balkon,
1379,баллон,ballon,
1396,бамбук,bambuk,
1403,банан,banan,
1419,банк,bank,
1439,бант,bant,
1443,баня,banya,
1448,барабан,baraban,
1505,барсук,barsuk,
1510,бархат,barhat,
1529,баскетбол,basketbol,
1541,бассейн,basseyn,
1554,батарея,batareya,
1568,батут,batut,
1601,башня,bashnya,
1605,баян,bayan,
1616,бегемот,begemot,
1646,бедро,bedro,
1652,бежать,bezhat,
1653,бежевый,bezhevyy,
1923,белка,belka,
1955,белый,belyy,
1970,бензин,benzin,
1978,берег,bereg,
1989,берёза,beryoza,
2022,беседка,besedka,
2235,бетон,beton,
2253,библиотека,biblioteka,
2285,билет,bilet,
2291,бильярд,bilyard,
2297,бинокль,binokl,
2299,бинт,bint,
2347,бисер,biser,
2494,блеск,blesk,
2511,близкий,blizkiy,
2522,блик,blik,
2524,блин,blin,
2541,блокнот,bloknot,
2547,блондин,blondin,
2565,блюдце,blyudtse,
2575,боб,bob,
2577,бобёр,bobyor,
2685,бокал,bokal,
2688,бокс,boks,
2719,болото,boloto,
2721,болт,bolt,
2733,больница,bolnitsa,
2753,большой,bolshoy,
2782,бордюр,bordyur,
2802,борода,boroda,
2842,ботинок,botinok,
2850,бочка,bochka,
2893,браслет,braslet,
2896,брат,brat,
2919,бревно,brevno,
2936,брелок,brelok,
2977,брить,brit,
2984,бровь,brov,
3009,бронза,bronza,
3019,броня,bronya,
3061,брюнет,bryunet,
3089,бугор,bugor,
3103,будка,budka,
3128,буква,bukva,
3134,букет,buket,
3152,булавка,bulavka,
3159,булочка,bulochka,
3180,бумага,bumaga,
3185,бумеранг,bumerang,
3190,бункер,bunker,
3240,бусы,busy,
3245,бутерброд,buterbrod,
3250,бутон,buton,
3252,бутылка,butylka,
3274,бухта,buhta,
3308,быстрый,bystryy,
3355,вагон,vagon,
3367,ваза,vaza,
3381,вакцина,vaktsina,
3435,ванна,vanna,
3453,варенье,varenye,
3482,вата,vata,
3496,вафля,vaflya,
3631,ведро,vedro,
3637,веер,veer,
3652,веко,veko,
3693,велосипед,velosiped,
3716,венок,venok,
3721,вентилятор,ventilyator,
3733,вера,vera,
3737,верблюд,verblyud,
3744,верёвка,veryovka,
3805,вертолёт,vertolyot,
3850,весло,veslo,
3851,весна,vesna,
3872,весы,vesy,
3880,ветер,veter,
3887,ветка,vetka,
3910,вечер,vecher,
3923,вешалка,veshalka,
4179,видеть,videt,
4227,вилка,vilka,
4253,виноград,vinograd,
4306,висок,visok,
4313,витамин,vitamin,
4324,витрина,vitrina,
4334,вихрь,vihr,
4346,вишня,vishnya,
4426,власть,vlast,
4544,внук,vnuk,
4604,вода,voda,
4629,водолаз,vodolaz,
4638,водопад,vodopad,
4651,водоросль,vodorosl,
4778,воздух,vozduh,
4892,вокзал,vokzal,
4903,волейбол,voleybol,
4909,волк,volk,
4911,волна,volna,
4937,волос,volos,
5028,вопрос,vopros,
5043,воробей,vorobey,
5060,ворона,vorona,
5065,воронка,voronka,
5071,ворота,vorota,
5096,воск,vosk,
5105,воскресенье,voskresenye,
5189,восток,vostok,
5375,врач,vrach,
5578,вспышка,vspyshka,
5668,вторник,vtornik,
5699,вулкан,vulkan,
5790,вывеска,vyveska,
6338,высокий,vysokiy,
6653,газ,gaz,
6656,газета,gazeta,
6674,газон,gazon,
6694,гайка,gayka,
6699,галактика,galaktika,
6728,галоша,galosha,
6730,галстук,galstuk,
6739,гамак,gamak,
6751,гантель,gantel,
6752,гараж,garazh,
6825,гвоздь,gvozd,
6844,гель,gel,
6854,ген,gen,
6863,генерал,general,
6889,гений,geniy,
6949,гепард,gepard,
6956,герб,gerb,
7025,гигант,gigant,
7074,гимн,gimn,
7116,гипс,gips,
7118,гирлянда,girlyanda,
7121,гиря,girya,
7127,гитара,gitara,
7161,гладкий,gladkiy,
7168,глаз,glaz,
7194,глина,glina,
7210,глобус,globus,
7217,глоток,glotok,
7223,глубокий,glubokiy,
7262,глыба,glyba,
7286,гнездо,gnezdo,
7307,гном,gnom,
7336,говорить,govorit,
7349,год,god,
7369,голень,golen,
7380,голова,golova,
7411,голос,golos,
7432,голубь,golub,
7439,гольф,golf,
7465,гонг,gong,
7478,гончар,gonchar,
7488,гора,gora,
7530,горизонт,gorizont,
7543,горло,gorlo,
7571,город,gorod,
7585,горох,goroh,
7595,горсть,gorst,
7606,горшок,gorshok,
7608,горький,gorkiy,
7620,горячий,goryachiy,
7682,гость,gost,
7716,грабли,grabli,
7763,гранат,granat,
7775,гранит,granit,
7831,грести,gresti,
7845,гречка,grechka,
7853,гриб,grib,
7861,грива,griva,
7894,гроздь,grozd,
7907,громкий,gromkiy,
7955,грудь,grud,
7957,груз,gruz,
7995,грусть,grust,
7996,груша,grusha,
8006,грядка,gryadka,
8020,губа,guba,
8086,гусеница,gusenitsa,
8094,густой,gustoy,
8098,гусь,gus,
8138,далёкий,dalyokiy,
8162,дамба,damba,
8223,дверь,dver,
8228,двигать,dvigat,
8250,двор,dvor,
8364,девочка,devochka,
8394,дед,ded,
8445,декабрь,dekabr,
8511,дельфин,delfin,
8578,день,den,
8619,деревня,derevnya,
8665,десна,desna,
8804,джунгли,dzhungli,
8847,диван,divan,
8939,динозавр,dinozavr,
8970,дирижёр,dirizhyor,
8977,диск,disk,
9096,длинный,dlinnyy,
9114,дно,dno,
9145,добро,dobro,
9270,дождь,dozhd,
9365,долгий,dolgiy,
9401,долина,dolina,
9413,доля,dolya,
9414,дом,dom,
9429,домино,domino,
9482,донор,donor,
9553,дорога,doroga,
9580,доска,doska,
9693,дочь,doch,
9715,дракон,drakon,
9776,дрель,drel,
9802,дрова,drova,
9810,дрожать,drozhat,
9823,друг,drug,
9859,дуб,dub,
9881,дуга,duga,
9905,дупло,duplo,
9941,духи,duhi,
9953,душ,dush,
9991,дым,dym,
10002,дыня,dynya,
10003,дыра,dyra,
10016,дышать,dyshat,
10034,дюна,dyuna,
10044,дядя,dyadya,
10045,дятел,dyatel,
10122,ёж,yozh,
10172,ёлка,yolka,
10185,енот,enot,
10227,ехать,ehat,
10235,жабра,zhabra,
10325,железо,zhelezo,
10345,жёлтый,zhyoltyy,
10357,жемчуг,zhemchug,
10360,жена,zhena,
10397,жест,zhest,
10411,жетон,zheton,
10413,жечь,zhech,
10435,живот,zhivot,
10456,жидкий,zhidkiy,
10482,жизнь,zhizn,
10485,жилет,zhilet,
10504,жираф,zhiraf,
10538,жонглёр,zhonglyor,
10549,жук,zhuk,
10560,журнал,zhurnal,
10643,забор,zabor,
10649,забота,zabota,
10782,завод,zavod,
10822,завтрак,zavtrak,
11184,закат,zakat,
11252,закон,zakon,
11343,зал,zal,
11500,замок,zamok,
11615,запад,zapad,
11653,запах,zapah,
12196,затылок,zatylok,
12384,заяц,zayats,
12390,звезда,zvezda,
12403,звено,zveno,
12423,звон,zvon,
12455,здоровье,zdorovye,
12467,зебра,zebra,
12482,зелёный,zelyonyy,
12506,земля,zemlya,
12527,зеркало,zerkalo,
