Dices,Word,Transliteration,Abbreviation,Numeric code
1111,абрикос,abrikos,abr,000
1112,август,avgust,avg,
1113,автобус,avtobus,avs,
1114,автомобиль,avtomobil,avt,001
1115,адрес,adres,adr,
1116,аист,aist,ast,002
1121,айсберг,aysberg,ays,003
1122,акваланг,akvalang,akn,004
1123,аквариум,akvarium,akv,005
1124,акробат,akrobat,akr,006
1125,актёр,aktyor,akt,007
1126,акула,akula,akl,
1131,алмаз,almaz,alm,008
1132,алоэ,aloe,alo,009
1133,алфавит,alfavit,alf,
1134,алюминий,alyuminiy,aln,
1135,амбар,ambar,amb,010
1136,ананас,ananas,ann,011
1141,ангар,angar,ang,012
1142,антенна,antenna,ant,
1143,антилопа,antilopa,anl,013
1144,апельсин,apelsin,apl,014
1145,апрель,aprel,apr,
1146,аптека,apteka,apt,015
1151,арахис,arahis,arh,016
1152,арбуз,arbuz,arb,017
1153,арка,arka,ark,
1154,армия,armiya,arm,
1155,асфальт,asfalt,asf,018
1156,атлет,atlet,atl,
1161,атом,atom,atm,
1162,аэропорт,aeroport,arp,019
1163,бабочка,babochka,bbc,020
1164,бабушка,babushka,bbs,021
1165,баклажан,baklazhan,bkz,022
1166,баланс,balans,bla,
1211,балкон,balkon,bal,023
1212,баллон,ballon,bll,024
1213,бамбук,bambuk,bmb,025
1214,банан,banan,bnn,026
1215,банк,bank,bnk,027
1216,бант,bant,bnt,028
1221,баня,banya,bny,029
1222,барабан,baraban,brb,030
1223,барсук,barsuk,brk,031
1224,бархат,barhat,brh,032
1225,баскетбол,basketbol,bsk,033
1226,бассейн,basseyn,bss,034
1231,батарея,batareya,btr,035
1232,батут,batut,btt,036
1233,башня,bashnya,bsh,037
1234,баян,bayan,ban,038
1235,бегемот,begemot,bgm,039
1236,бедро,bedro,bdr,040
1241,бежать,bezhat,bzh,041
1242,бежевый,bezhevyy,bzv,
1243,белка,belka,bel,
1244,белый,belyy,bly,042
1245,бензин,benzin,bnz,
1246,берег,bereg,brg,043
1251,берёза,beryoza,brz,044
1252,беседка,besedka,bsd,045
1253,бетон,beton,btn,046
1254,библиотека,biblioteka,bbl,047
1255,билет,bilet,ble,048
1256,бильярд,bilyard,blr,
1261,бинокль,binokl,bnl,049
1262,бинт,bint,bin,050
1263,бисер,biser,bsr,051
1264,блеск,blesk,bls,052
1265,близкий,blizkiy,blz,
1266,блик,blik,blk,
1311,блин,blin,bln,053
1312,блокнот,bloknot,blo,054
1313,блондин,blondin,bnd,
1314,блюдце,blyudtse,bld,055
1315,боб,bob,bob,056
1316,бобёр,bobyor,bbr,057
1321,бокал,bokal,bkl,058
1322,бокс,boks,bks,
1323,болото,boloto,bol,
1324,болт,bolt,blt,
1325,больница,bolnitsa,bli,
1326,большой,bolshoy,bso,059
1331,бордюр,bordyur,brr,060
1332,борода,boroda,brd,061
1333,ботинок,botinok,btk,062
1334,бочка,bochka,bch,063
1335,браслет,braslet,brs,064
1336,брат,brat,brt,065
1341,бревно,brevno,bre,
1342,брелок,brelok,brl,066
1343,брить,brit,bri,
1344,бровь,brov,brv,067
1345,бронза,bronza,bro,
1346,броня,bronya,brn,068
1351,брюнет,bryunet,bru,
1352,бугор,bugor,bgr,
1353,будка,budka,bdk,069
1354,буква,bukva,bkv,
1355,букет,buket,bkt,070
1356,булавка,bulavka,blv,071
1361,булочка,bulochka,blc,072
1362,бумага,bumaga,bmg,073
1363,бумеранг,bumerang,bmr,074
1364,бункер,bunker,bnr,
1365,бусы,busy,bsy,075
1366,бутерброд,buterbrod,btb,076
1411,бутон,buton,but,077
1412,бутылка,butylka,btl,078
1413,бухта,buhta,bht,079
1414,быстрый,bystryy,bst,
1415,вагон,vagon,vgn,
1416,ваза,vaza,vza,080
1421,вакцина,vaktsina,vkt,
1422,ванна,vanna,vnn,081
1423,варенье,varenye,vre,082
1424,вата,vata,vta,083
1425,вафля,vaflya,vfl,084
1426,ведро,vedro,vdr,085
1431,веер,veer,ver,086
1432,веко,veko,vko,087
1433,велосипед,velosiped,vlp,088
1434,венок,venok,vno,
1435,вентилятор,ventilyator,vnt,089
1436,вера,vera,vra,090
1441,верблюд,verblyud,vrd,091
1442,верёвка,veryovka,vrv,092
1443,вертолёт,vertolyot,vrl,093
